"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='10.9mm' Width='3.4mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='10.9mm' Width='3.4mm'"
0.01,79.5945559454552,4.47536899990511
0.02,112.563700509127,4.10433576514992
0.03,137.861814903412,3.93996194122935
0.04,159.18911189091,3.84197564880893
0.05,177.978837732948,3.77510653353173
0.06,194.966048369774,3.72574580326514
0.07,210.587400746292,3.68738266602199
0.08,225.127401018254,3.65645903143133
0.09,238.783667836366,3.63084453177687
0.1,251.700086137335,3.60917542656688
0.11,263.985277426027,3.590532859584
0.12,275.723629806824,3.57427211947105
0.13,286.982252709126,3.55992571385356
0.14,297.815558200304,3.54714528497883
0.15,308.268389625523,3.53566521776529
0.16,318.378223781821,3.52527897326084
0.17,328.176761387246,3.51582320231669
0.18,337.691101527381,3.50716678685847
0.19,346.944625822234,3.49920309865368
0.2,355.957675465896,3.49184441562224
0.21,364.748077526446,3.48501781924418
0.22,373.331559602711,3.47866213008993
0.23,381.722080487292,3.47272558465569
0.24,389.932096739549,3.46716405048895
0.25,397.972779727276,3.46193963815123
0.26,405.854193941629,3.45701960979117
0.27,413.585444710236,3.45237551221829
0.28,421.174801492584,3.44798248186737
0.29,428.629801516964,3.44381868277456
0.3,435.957337459328,3.4398648484922
0.31,443.163732068386,3.43610390596351
0.32,450.254802036507,3.43252066457204
0.33,457.235912952043,3.42910155742625
0.34,464.112026809522,3.42583442481609
0.35,470.887743273699,3.42270833195103
0.36,477.567335672731,3.41971341474481
0.37,484.15478252074,3.41684074868507
0.38,490.653795230262,3.41408223681195
0.39,497.067842562777,3.41143051359965
0.4,503.400172274671,3.40887886213982
0.41,509.653830342049,3.4064211425046
0.42,515.831678087413,3.40405172954847
0.43,521.936407481439,3.40176545871344
0.44,527.970554852053,3.39955757864838
0.45,533.936513198844,3.39742370965241
0.46,539.836543282403,3.39535980711501
0.47,545.672783634338,3.39336212925769
0.48,551.447259613648,3.3914272085919
0.49,557.161891618187,3.38955182659738
0.5,562.818502545634,3.38773299120019
0.51,568.418824586118,3.3859679166919
0.52,573.964505418252,3.38425400578316
0.53,579.4571138714,3.3825888335286
0.54,584.898145109323,3.38097013289688
0.55,590.289025383736,3.37939578179042
0.56,595.631116400609,3.37786379134579
0.57,600.925719337082,3.3763722953681
0.58,606.174078542578,3.37491954077176
0.59,611.377384953923,3.37350387891617
0.6,616.536779251045,3.37212375773902
0.61,621.653354776926,3.37077771460195
0.62,626.728160242988,3.36946436977334
0.63,631.762202238876,3.3681824204825
0.64,636.756447563642,3.3669306354868
0.65,641.711825393629,3.36570785010032
0.66,646.629229300824,3.3645129616384
0.67,651.509519134089,3.36334492523755
0.68,656.353522774492,3.36220275001472
0.69,661.162037774886,3.36108549553389
0.7,665.935832892925,3.35999226855122
0.71,670.675649525871,3.35892222001333
0.72,675.382203054761,3.35787454228561
0.73,680.056184104855,3.35684846659015
0.74,684.698259728627,3.35584326063469
0.75,689.30907451706,3.35485822641607
0.76,693.889251644468,3.35389269818322
0.77,698.43939385166,3.352946040546
0.78,702.960084371814,3.35201764671797
0.79,707.451887803109,3.35110693688181
0.8,711.915350931792,3.3502133566675
0.81,716.351003509097,3.34933637573413
0.82,720.759358985122,3.34847548644718
0.83,725.140915202555,3.34763020264368
0.84,729.496155052892,3.34680005847847
0.85,733.82554709761,3.34598460734534
0.86,738.129546156541,3.34518342086739
0.87,742.408593865545,3.34439608795138
0.88,746.663119205422,3.34362221390134
0.89,750.893539003848,3.34286141958717
0.9,755.100258412006,3.34211334066413
0.91,759.28367135744,3.34137762683968
0.92,763.444160974584,3.34065394118422
0.93,767.582100014286,3.33994195948279
0.94,771.697851233561,3.33924136962468
0.95,775.791767766744,3.33855187102862
0.96,779.864193479098,3.33787317410085
0.97,783.915463303893,3.33720499972408
0.98,787.945903563888,3.33654707877521
0.99,791.95583227808,3.33589915166984
1,795.945559454552,3.33526096793199
