"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,0.158516798508509,7.40390409561115,
11,0.166253820859329,7.28649610900864,
12,0.173646452573223,7.1840884974881,
13,0.180736958124794,7.0937370668037,
14,0.187559605387573,7.01324791402356,
15,0.19414263600271,6.94094823668615,
16,0.200509652273948,6.87553728460277,
17,0.206680618820339,6.81598631024678,
18,0.212672602224398,6.7614695523841,
19,0.218500327866655,6.71131548299476,
20,0.224176606314697,6.66497164206551,
21,0.229712664778661,6.62197880010161,
22,0.235118408255611,6.58195165857342,
23,0.240402627775968,6.54456421898699,
24,0.245573168287029,6.50953854202213,
25,0.250637065342435,6.47663600588982,
26,0.255600657402141,6.44565043269529,
27,0.260469678859835,6.41640262867141,
28,0.265249337692452,6.38873600695249,
29,0.269944380729111,6.36251304803522,
30,0.274559148869896,6.33761241482961,
31,0.279097624083582,6.31392658388014,
32,0.283563469632531,6.29135988704758,
33,0.287960064680813,6.26982688215964,
34,0.292290534215388,6.24925098925419,
35,0.29655777503356,6.2295633427216,
36,0.300764478410922,6.21070182008119,
37,0.304913149953774,6.19261021614244,
38,0.309006127051992,6.17523753751189,
39,0.313045594277591,6.15853739725389,
40,0.317033597017018,6.14246749332458,
41,0.320972053578638,6.12698915741356,
42,0.324862765978846,6.11206696322943,
43,0.328707429578896,6.09766838518948,
44,0.332507641718659,6.08376350002333,
45,0.336264909472045,6.07032472505635,
46,0.339980656630905,6.05732658796057,
47,0.343656230009177,6.0447455235973,
48,0.347292905146447,6.03255969426306,
49,0.350891891479409,6.02074883021788,
50,0.354454337040664,6.00929408784567,
51,0.357981332736604,5.99817792318812,
52,0.361473916249587,5.98738397892086,
53,0.364933075603942,5.9768969831153,
54,0.368359752430543,5.96670265836076,
55,0.371754844960533,5.95678764001675,
56,0.375119210775146,5.9471394025308,
57,0.378453669335505,5.93774619289787,
58,0.381759004313515,5.92859697045761,
59,0.385035965742663,5.91968135232796,
60,0.388285272005421,5.91098956386209,
61,0.39150761167219,5.902512393591,
62,0.39470364520511,5.89424115217968,
63,0.397874006538678,5.886167634981,
64,0.401019304547896,5.8782840878204,
65,0.404140124413572,5.87058317568716,
66,0.407237028893439,5.86305795404481,
67,0.410310559506936,5.85570184250564,
68,0.413361237640678,5.8485086006424,
69,0.416389565581046,5.84147230573528,
70,0.419396027479649,5.8345873322736,
71,0.42238109025695,5.82784833305123,
72,0.425345204448796,5.82125022171106,
73,0.428288805000232,5.81478815660937,
74,0.431212312010529,5.80845752588344,
75,0.434116131433058,5.80225393361805,
76,0.43700065573331,5.79617318701639,
77,0.439866264508068,5.79021128449031,
78,0.442713325068515,5.7843644045932,
79,0.445542192989799,5.77862889572574,
80,0.448353212629393,5.77300126655177,
81,0.451146717616383,5.7674781770668,
82,0.453923031313653,5.7620564302676,
83,0.456682467254781,5.75673296437539,
84,0.459425329557321,5.75150484556982,
85,0.462151913314001,5.7463692611945,
86,0.464862504963275,5.74132351339833,
87,0.467557382640537,5.73636501317998,
88,0.470236816511221,5.73149127480572,
