Freq (kHz),Reff (mOhm),Leff (nH)
10,0.07448850000000001,6.736646769216511
110,0.10623806924797474,6.590695469912903
210,0.12945284302958185,6.574157957551726
310,0.15350603433074206,6.564203443663948
410,0.17699308766931762,6.556599769056012
510,0.1988961335809669,6.550393356557255
610,0.21899790848430534,6.54528633275806
710,0.23721982971573963,6.541084703636865
810,0.25348331461167617,6.5375944751721
910,0.2677097805085218,6.534621653342201
