"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='10.9mm' Width='7.8mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='10.9mm' Width='7.8mm'"
0.01,38.1225591070891,2.96914130474892
0.02,53.9134401216154,2.7914314569505
0.03,66.030209288026,2.71270307228102
0.04,76.2451182141783,2.66577161848861
0.05,85.244633639705,2.63374402854463
0.06,93.3808175014603,2.61010224381696
0.07,100.862810738718,2.591727859417
0.08,107.826880243231,2.5769166945894
0.09,114.367677321267,2.56464838973517
0.1,120.554117012797,2.55426976855495
0.11,126.438224606361,2.54534073624526
0.12,132.060418576052,2.53755250225466
0.13,137.452841612517,2.53068115672568
0.14,142.641554885766,2.52455985044532
0.15,147.648036536564,2.51906136457901
0.16,152.490236428357,2.51408677535845
0.17,157.183337917381,2.50955784517674
0.18,161.740320364846,2.50541177380237
0.19,166.172382616958,2.50159749064328
0.2,170.48926727941,2.49807298038647
0.21,174.699512793664,2.49480331802286
0.22,178.810652040691,2.49175920109085
0.23,182.829370715131,2.48891583697479
0.24,186.761635002921,2.48625208802263
0.25,190.612795535446,2.48374980673242
0.26,194.387672795142,2.48139331300321
0.27,198.090627864078,2.47916897891254
0.28,201.725621477437,2.47706489582265
0.29,205.296263661401,2.47507060519385
0.3,208.805855727767,2.47317687918032
0.31,212.257426016332,2.4713755404814
0.32,215.653760486462,2.46965931340885
0.33,218.997429037022,2.46802169997272
0.34,222.290808261833,2.46645687616584
0.35,225.53610121347,2.46495960466772
0.36,228.735354642535,2.46352516098174
0.37,231.890474095681,2.46214927062898
0.38,235.003237188753,2.46082805549458
0.39,238.075305317596,2.45955798779088
0.4,241.108234025593,2.45833585039163
0.41,244.103482211569,2.45715870252078
0.42,247.062420332772,2.45602384996213
0.43,249.986337733806,2.4549288191022
0.44,252.876449212722,2.45387133423678
0.45,255.733900919115,2.45284929766708
0.46,258.559775665476,2.45186077218893
0.47,261.355097721576,2.45090396564246
0.48,264.120837152104,2.44997721724148
0.49,266.857913749624,2.44907898544553
0.5,269.567200608077,2.44820783717274
0.51,272.249527376172,2.44736243818193
0.52,274.905683225033,2.44654154447699
0.53,277.536419560201,2.4457439946076
0.54,280.142452504381,2.44496870275785
0.55,282.72446517421,2.44421465252919
0.56,285.283109771533,2.44348089133681
0.57,287.819009507346,2.44276652534919
0.58,290.332760374477,2.44207071490953
0.59,292.824932783287,2.44139267038595
0.6,295.296073073128,2.44073164840366
0.61,297.746704910875,2.44008694841828
0.62,300.177330586701,2.43945790959443
0.63,302.588432216155,2.43884390795787
0.64,304.980472856713,2.43824435379338
0.65,307.353897546099,2.43765868926372
0.66,309.709134268997,2.43708638622773
0.67,312.046594858083,2.43652694423824
0.68,314.366675834762,2.43597988870252
0.69,316.669759194451,2.43544476918992
0.7,318.956213140841,2.43492115787292
0.71,321.226392773102,2.43440864808945
0.72,323.480640729693,2.43390685301533
0.73,325.719287792059,2.43341540443717
0.74,327.942653451239,2.43293395161673
0.75,330.15104644013,2.43246216023884
0.76,332.344765233916,2.43199971143579
0.77,334.524098520958,2.43154630088151
0.78,336.68932564626,2.43110163794994
0.79,338.840717029413,2.43066544493214
0.8,340.97853455882,2.43023745630738
0.81,343.103031963802,2.42981741806392
0.82,345.2144551661,2.42940508706545
0.83,347.313042612138,2.42900023045963
0.84,349.399025587328,2.42860262512558
0.85,351.472628513584,2.42821205715705
0.86,353.53406923113,2.42782832137891
0.87,355.583559265603,2.4274512208942
0.88,357.621304081382,2.42708056665957
0.89,359.647503321992,2.42671617708712
0.9,361.66235103839,2.42635787767052
0.91,363.666035905869,2.42600550063385
0.92,365.658741430261,2.42565888460155
0.93,367.640646144079,2.42531787428779
0.94,369.611923793199,2.42498232020425
0.95,371.572743514622,2.42465207838469
0.96,373.523270005841,2.42432701012546
0.97,375.463663686288,2.42400698174074
0.98,377.394080851308,2.42369186433147
0.99,379.314673819083,2.42338153356729
1,381.225591070891,2.42307586948036
