"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='40mm' Width='7.8mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='40mm' Width='7.8mm'"
0.01,0.18397995594419,16.2394702049944
0.02,0.260186948901079,15.38184021544
0.03,0.318662631269621,15.0018960280007
0.04,0.367959911888381,14.7754042340771
0.05,0.411391687988626,14.6208386769659
0.06,0.450657014962995,14.5067431226664
0.07,0.486765209648947,14.4180681094568
0.08,0.520373897802157,14.3465892392998
0.09,0.551939867832571,14.2873822437713
0.1,0.581795704601076,14.2372948857287
0.11,0.610192482812996,14.1942032620434
0.12,0.637325262539243,14.1566171455802
0.13,0.663349164814384,14.1234559445143
0.14,0.688389961176924,14.0939144424179
0.15,0.712551305407824,14.0673786795746
0.16,0.735919823776762,14.0433712486184
0.17,0.758568791354381,14.0215145738614
0.18,0.780560846703236,14.0015055805865
0.19,0.801950035597791,13.9830978014656
0.2,0.822783375977253,13.9660884700628
0.21,0.843102074468893,13.9503090378395
0.22,0.862942484852251,13.9356180907426
0.23,0.882336872374834,13.9218959792932
0.24,0.901314029925991,13.909040692913
0.25,0.919899779720952,13.8969646515267
0.26,0.938117385469368,13.885592182767
0.27,0.955987893808865,13.8748575181067
0.28,0.973530419297895,13.8647031863082
0.29,0.990762383968811,13.8550787143257
0.3,1.0076997199944,13.8459395684578
0.31,1.0243570421811,13.8372462849472
0.32,1.04074779560431,13.8289637512298
0.33,1.05688438262871,13.8210606079233
0.34,1.07277827272633,13.813508748295
0.35,1.08844009785698,13.8062828969693
0.36,1.10387973566514,13.7993602534655
0.37,1.11910638234324,13.7927201890938
0.38,1.13412861668798,13.7863439880225
0.39,1.14895445661689,13.7802146251034
0.4,1.16359140920215,13.7743165744442
0.41,1.17804651510807,13.7686356438222
0.42,1.1923263881788,13.7631588309158
0.43,1.20643725080782,13.7578741980347
0.44,1.22038496562599,13.7527707626016
0.45,1.23417506396588,13.7478384010951
0.46,1.24781277149435,13.7430677645435
0.47,1.26130303135037,13.7384502039602
0.48,1.27465052507849,13.73397770437
0.49,1.28785969160933,13.729642826279
0.5,1.30093474450539,13.7254386536158
0.51,1.3138796876619,13.7213587473155
0.52,1.32669832962877,13.717397103837
0.53,1.33939429669869,13.7135481180063
0.54,1.35197104488899,13.7098065496619
0.55,1.36443187092923,13.7061674936516
0.56,1.37677992235385,13.7026263527888
0.57,1.38901820678704,13.6991788134313
0.58,1.40114960049779,13.6958208233846
0.59,1.41317685629377,13.6925485718753
0.6,1.42510261081565,13.6893584713672
0.61,1.43692939128643,13.6862471410241
0.62,1.4486596217649,13.683211391646
0.63,1.46029562894684,13.6802482119254
0.64,1.47183964755352,13.6773547558891
0.65,1.48329382534267,13.6745283314074
0.66,1.49466022777384,13.6717663896644
0.67,1.50594084235675,13.6690665154956
0.68,1.51713758270876,13.6664264185106
0.69,1.52825229234463,13.6638439249252
0.7,1.53928674822004,13.6613169700384
0.71,1.55024266404814,13.6588435912938
0.72,1.56112169340647,13.6564219218731
0.73,1.57192543265052,13.6540501847737
0.74,1.5826554236481,13.6517266873284
0.75,1.59331315634811,13.6494498161279
0.76,1.60390007119558,13.6472180323126
0.77,1.61441756140424,13.6450298672011
0.78,1.62486697509662,13.6428839182282
0.79,1.63524961732112,13.640778845167
0.8,1.64556675195451,13.6387133666113
0.81,1.65581960349771,13.6366862566969
0.82,1.6660093587722,13.634696342045
0.83,1.67613716852344,13.6327424989074
0.84,1.68620414893779,13.6308236504996
0.85,1.69621138307825,13.6289387645075
0.86,1.70615992224453,13.6270868507533
0.87,1.71605078726204,13.6252669590097
0.88,1.7258849697045,13.6234781769512
0.89,1.7356634330541,13.6217196282321
0.9,1.74538711380323,13.6199904706827
0.91,1.75505692250126,13.6182898946144
0.92,1.76467374474967,13.6166171212265
0.93,1.77423844214864,13.6149714011077
0.94,1.78375185319799,13.6133520128255
0.95,1.79321479415504,13.6117582615969
0.96,1.80262805985198,13.6101894780364
0.97,1.81199242447504,13.6086450169744
0.98,1.82130864230755,13.6071242563426
0.99,1.83057744843899,13.6056265961209
1,1.8397995594419,13.6041514573432
