"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,0.291502596369223,15.9199732804174,
11,0.305730502336614,15.7040672486836,
12,0.319325095205495,15.5157459797261,
13,0.332364096732782,15.3495952822733,
14,0.344910523420202,15.2015807044132,
15,0.357016309900539,15.0686260657956,
16,0.36872485935179,14.9483393672079,
17,0.380072885474612,14.8388288055234,
18,0.39109177265956,14.7385758568635,
19,0.401808599971425,14.6463456226988,
20,0.412246925252326,14.5611221632062,
21,0.422427394647881,14.4820609837243,
22,0.432368222835579,14.4084535440682,
23,0.442085575977091,14.3397003531535,
24,0.45159388044569,14.2752902977466,
25,0.460906074189738,14.2147845671241,
26,0.470033813245383,14.1578040128789,
27,0.478987642808242,14.1040191087471,
28,0.487777140026053,14.0531419011595,
29,0.49641103402422,14.0049195002481,
30,0.504897307449738,13.9591287746028,
31,0.513243282897102,13.9155719952337,
32,0.521455696879414,13.8740732343449,
33,0.529540763470571,13.8344753690617,
34,0.537504229328472,13.7966375735663,
35,0.545351421484344,13.7604332082583,
36,0.553087289027685,13.7257480337349,
37,0.560716439613638,13.6924786921241,
38,0.568243171557736,13.6605314097267,
39,0.575671502152915,13.6298208838345,
40,0.583005192738447,13.6002693236032,
41,0.590247770964867,13.5718056203996,
42,0.597402550628965,13.544364627463,
43,0.604472649395317,13.5178865322569,
44,0.611461004673228,13.4923163077363,
45,0.618370387878489,13.4676032310671,
46,0.625203417276324,13.4437004602123,
47,0.631962569574332,13.4205646603382,
48,0.638650190410989,13.3981556732576,
49,0.645268503865633,13.3764362241712,
50,0.651819621099267,13.3553716608337,
51,0.658305548221335,13.3349297209899,
52,0.664728193465564,13.3150803245312,
53,0.671089373747634,13.2957953873245,
54,0.677390820668535,13.2770486540941,
55,0.683634186019827,13.2588155480919,
56,0.689821046840404,13.2410730356011,
57,0.695952910068627,13.2237995035717,
58,0.702031216828704,13.2069746489116,
59,0.708057346385864,13.1905793781423,
60,0.714032619801078,13.1745957162923,
