"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='1.2mm' Width='1.2mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH] - Length='1.2mm' Width='1.2mm'"
0.01,13.0517284124106,467.349369272474
0.02,18.4579313332413,406.508210546473
0.03,22.6062567368854,379.554576815659
0.04,26.1034568248212,363.48701463607
0.05,29.1845519540155,352.521974107742
0.06,31.9700748717915,344.427917447393
0.07,34.5316275587943,338.137220270958
0.08,36.9158626664827,333.06643527307
0.09,39.1551852372318,328.866229757269
0.1,41.2731891851509,325.312980759503
0.11,43.2876860095869,322.256016394536
0.12,45.2125134737709,319.589618407662
0.13,47.0586760243766,317.237128496894
0.14,48.8350960244634,315.141423775814
0.15,50.5491267804884,313.258949306957
0.16,52.2069136496424,311.555837317868
0.17,53.813654841244,310.005302198637
0.18,55.373793999724,308.585843515268
0.19,56.8911651882363,307.279976620537
0.2,58.369103908031,306.073317053704
0.21,59.8105333998774,304.953907807063
0.22,61.2180326385059,303.91171682139
0.23,62.593890553955,302.938256038862
0.24,63.9401497435831,302.02628872353
0.25,65.258642062053,301.169601854228
0.26,66.551017860995,300.362827154952
0.27,67.8187702106563,299.60129893833
0.28,69.0632551175886,298.880940135312
0.29,70.285708518791,298.19817013581
0.3,71.4872606590837,297.549829672973
0.31,72.6689483279558,296.933119147033
0.32,73.8317253329653,296.345547636368
0.33,74.976471510693,295.784890473956
0.34,76.1040005173518,295.249153739092
0.35,77.2150665951692,294.736544370498
0.36,78.3103704744636,294.245444878468
0.37,79.3905645426399,293.774391842416
0.38,80.4562573884119,293.322057541876
0.39,81.5080178111437,292.887234195219
0.4,82.5463783703019,292.468820379585
0.41,83.5718385378972,292.065809284018
0.42,84.5848675068756,291.677278510362
0.43,85.5859067002682,291.302381186525
0.44,86.5753720191738,290.940338197101
0.45,87.5536558620465,290.590431369025
0.46,88.5211289431003,290.251997476556
0.47,89.4781419337277,289.924422951647
0.48,90.4250269475417,289.607139203664
0.49,91.3620988868742,289.29961846721
0.5,92.2896566662066,289.001370109028
0.51,93.2079843260095,288.711937335188
0.52,94.1173520487532,288.43089424828
0.53,95.0180170873939,288.157843211457
0.54,95.9102246153746,287.892412482242
0.55,96.7942085061029,287.634254084055
0.56,97.6701920489269,287.38304188774
0.57,98.5383886078191,287.138469879043
0.58,99.3990022282765,286.900250591102
0.59,100.252228197324,286.668113683701
0.6,101.098253560977,286.441804653312
0.61,101.937257603052,286.221083659924
0.62,102.769412288785,286.00572445839
0.63,103.594882676383,285.79551342343
0.64,104.413827299285,285.590248658767
0.65,105.226398521646,285.389739181939
0.66,106.032742869302,285.193804177305
0.67,106.833001338251,285.0022723106
0.68,107.627309682488,284.814981099152
0.69,108.415798682856,284.631776332467
0.7,109.19859439843,284.452511538519
0.71,109.975818401793,284.277047491528
0.72,110.747587999448,284.105251757467
0.73,111.514016438503,283.936998273938
0.74,112.275213100658,283.772166961376
0.75,113.031283684427,283.610643362865
0.76,113.782330376473,283.452318310101
0.77,114.528452012817,283.297087613306
0.78,115.269744230667,283.144851773063
0.79,116.006299611507,282.995515712287
0.8,116.738207816062,282.848988526685
0.81,117.465555711695,282.7051832522
0.82,118.188427492749,282.564016648116
0.83,118.906904794297,282.42540899457
0.84,119.621066799755,282.289283903365
0.85,120.330990342732,282.155568141065
0.86,121.036750003518,282.024191463431
0.87,121.738418200523,281.895086460358
0.88,122.436065277012,281.768188410528
0.89,123.129759583409,281.643435145078
0.9,123.819567555453,281.520766919612
0.91,124.505553788458,281.400126293982
0.92,125.18778110791,281.281458019264
0.93,125.866310636617,281.164708931449
0.94,126.541201858623,281.049827851357
0.95,127.212512680066,280.936765490375
0.96,127.880299487166,280.825474361598
0.97,128.544617201494,280.71590869603
0.98,129.205519332689,280.608024363496
0.99,129.863058028761,280.501778797956
1,130.517284124106,280.397130926947
