"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='1.2mm' Width='5.6mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH] - Length='1.2mm' Width='5.6mm'"
0.01,3.30051530113647,157.987914400938
0.02,4.66763350168712,142.60242912505
0.03,5.71666019272686,135.786406163279
0.04,6.60103060227294,131.723248154623
0.05,7.38017657411934,128.95041356155
0.06,8.08457837603272,126.903592097632
0.07,8.73234268517056,125.312803381411
0.08,9.33526700337423,124.030505516679
0.09,9.90154590340941,122.968359405851
0.1,10.4371458038278,122.069815372808
0.11,10.9465708686965,121.296771577933
0.12,11.4333203854537,120.622494035794
0.13,11.900177153701,120.027597428929
0.14,12.3493974566577,119.497636547119
0.15,12.7828407952043,119.021597237065
0.16,13.2020612045459,118.590915031466
0.17,13.6083732055529,118.198816397149
0.18,14.0029005050613,117.839864313889
0.19,14.3866126592636,117.509637271835
0.2,14.7603531482387,117.204497734929
0.21,15.1248611998178,116.921422020355
0.22,15.4807889839889,116.657873225419
0.23,15.8287153243663,116.411704893818
0.24,16.1691567520654,116.18108700297
0.25,16.5025765056824,115.964448406834
0.26,16.8293919254064,115.760431578151
0.27,17.1499805781806,115.567856659965
0.28,17.4646853703411,115.38569264486
0.29,17.7738188450891,115.213034069742
0.3,18.077666818234,115.049082020609
0.31,18.3764914726428,114.893128535912
0.32,18.6705340067485,114.744543712493
0.33,18.9600169132358,114.602764977542
0.34,19.2451459491276,114.467288109274
0.35,19.5261118468644,114.337659679147
0.36,19.8030918068188,114.21347065708
0.37,20.0762508044289,114.094350973923
0.38,20.345742739339,113.979964876313
0.39,20.6117114492805,113.870006940966
0.4,20.8742916076555,113.764198640558
0.41,21.1336095207249,113.662285373179
0.42,21.389783837793,113.564033883193
0.43,21.6429261857205,113.46923001396
0.44,21.8931417373931,113.377676743121
0.45,22.140529722358,113.289192459389
0.46,22.3851838866616,113.203609446532
0.47,22.6271929079303,113.120772545736
0.48,22.8666407709074,113.040537972051
0.49,23.1036071079553,112.962772264398
0.5,23.3381675084356,112.887351351656
0.51,23.5703938003767,112.814159719979
0.52,23.800354307402,112.743089668619
0.53,24.0281140835253,112.674040643344
0.54,24.2537351280982,112.606918638083
0.55,24.4772765829244,112.541635656671
0.56,24.6987949133154,112.478109227713
0.57,24.9183440746581,112.41626196646
0.58,25.1359756658875,112.356021178418
0.59,25.3517390710997,112.297318500073
0.6,25.5656815904086,112.240089572686
0.61,25.7778485610261,112.184273745622
0.62,25.988283469445,112.129813806107
0.63,26.1970280555117,112.076655732676
0.64,26.4041224090918,112.024748469887
0.65,26.6096050599654,111.97404372218
0.66,26.8135130615213,111.924495764975
0.67,27.0158820687648,111.87606127134
0.68,27.2167464111059,111.828699152729
0.69,27.4161391603464,111.782370412459
0.7,27.6140921942496,111.737038010751
0.71,27.8106362560362,111.69266674025
0.72,28.0058010101227,111.649223111098
0.73,28.1996150943878,111.606675244692
0.74,28.3921061692271,111.564992775365
0.75,28.5833009636343,111.524146759302
0.76,28.7732253185272,111.484109590072
0.77,28.9619042275153,111.444854920208
0.78,29.1493618752933,111.406357588343
0.79,29.3356216738259,111.368593551426
0.8,29.5207062964774,111.331539821618
0.81,29.7046377102282,111.295174407489
0.82,29.8874372061063,111.259476259162
0.83,30.0691254279533,111.224425217114
0.84,30.2497223996357,111.190001964331
0.85,30.4292475508031,111.156187981575
0.86,30.6077197412857,111.122965505514
0.87,30.7851572842194,111.090317489509
0.88,30.9615779679777,111.058227566863
0.89,31.1369990769856,111.026680016342
0.9,31.3114374114833,110.995659729808
0.91,31.4849093063053,110.965152181823
0.92,31.6574306487325,110.935143401063
0.93,31.8290168954736,110.905619943437
0.94,31.9996830888273,110.876568866777
0.95,32.1694438720724,110.847977707
0.96,32.3383135041309,110.819834455639
0.97,32.5063058735453,110.79212753865
0.98,32.6734345118098,110.764845796414
0.99,32.8397126060896,110.73797846485
1,33.0051530113647,110.711515157571
