"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='30.3mm' Width='5.6mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='30.3mm' Width='5.6mm'"
0.01,0.185169635445673,13.124522278817
0.02,0.261869409786953,12.2613465502542
0.03,0.320723216610912,11.8789455092453
0.04,0.370339270891346,11.6509891392319
0.05,0.414051892225379,11.4954241065311
0.06,0.453571122699076,11.3805907700017
0.07,0.489912805749742,11.2913423527766
0.08,0.523738819573905,11.2194012749505
0.09,0.555508906337019,11.1598114260368
0.1,0.585557801511374,11.1094001854123
0.11,0.614138203340191,11.0660299160391
0.12,0.641446433221825,11.028200754446
0.13,0.667638615258348,10.994825121319
0.14,0.69284133427154,10.965092593416
0.15,0.71715891430439,10.9383852409398
0.16,0.740678541782692,10.9142225694393
0.17,0.763473965599626,10.8922245616888
0.18,0.785608229360858,10.8720861831825
0.19,0.807135728319956,10.8535593728477
0.2,0.828103784450759,10.8364400530889
0.21,0.848553870837174,10.8205585854729
0.22,0.868522576335144,10.8057726415133
0.23,0.888042374830683,10.7919617980353
0.24,0.907142245398153,10.7790233848242
0.25,0.925848177228365,10.7668692554808
0.26,0.944183584462349,10.7554232483136
0.27,0.962169649832737,10.7446191695129
0.28,0.979825611499483,10.7343991762116
0.29,0.997169004151964,10.7247124689874
0.3,1.01421586298603,10.7155142261682
0.31,1.03098089731264,10.70676472881
0.32,1.04747763914781,10.6984286372986
0.33,1.06371857105428,10.6904743894707
0.34,1.07971523666976,10.6828736968456
0.35,1.09547833670407,10.6756011206082
0.36,1.11101781267404,10.6686337128418
0.37,1.12634292023792,10.6619507114641
0.38,1.14146229366597,10.6555332796203
0.39,1.15638400272239,10.6493642820715
0.4,1.17111560302275,10.6434280925295
0.41,1.18566418075879,10.6377104269998
0.42,1.20003639254212,10.632198199083
0.43,1.21423850100241,10.6268793938956
0.44,1.22827640668038,10.6217429578429
0.45,1.24215567667614,10.6167787019415
0.46,1.25588157044756,10.6119772167657
0.47,1.26945906309771,10.6073297974016
0.48,1.28289286644365,10.6028283770464
0.49,1.29618744811971,10.5984654680996
0.5,1.30934704893476,10.5942341097682
0.51,1.32237569867464,10.59012782135
0.52,1.3352772305167,10.5861405604828
0.53,1.34805529420251,10.5822666857477
0.54,1.36071336809723,10.5785009230984
0.55,1.37325477024826,10.574838335664
0.56,1.38568266854308,10.5712742965313
0.57,1.39800009005427,10.5678044641643
0.58,1.41020992964978,10.5644247601657
0.59,1.42231495793791,10.5611313491202
0.6,1.43431782860878,10.5579206202932
0.61,1.44622108522732,10.5547891709871
0.62,1.45802716752713,10.5517337913793
0.63,1.46973841724922,10.54875145069
0.64,1.48135708356538,10.545839284543
0.65,1.49288532812149,10.5429945834004
0.66,1.50432522973309,10.5402147819647
0.67,1.51567878876185,10.5374974494541
0.68,1.52694793119925,10.5348402806677
0.69,1.53813451248087,10.5322410877649
0.7,1.54924032105282,10.5296977926936
0.71,1.56026708170971,10.5272084202068
0.72,1.57121645872172,10.5247710914146
0.73,1.58209005876691,10.5223840178238
0.74,1.59288943368338,10.5200454958218
0.75,1.60361608305456,10.5177539015664
0.76,1.61427145663991,10.5155076862472
0.77,1.62485695666216,10.5133053716857
0.78,1.63537393996129,10.5111455462474
0.79,1.64582372002459,10.5090268610389
0.8,1.65620756890152,10.5069480263678
0.81,1.66652671901106,10.5049078084434
0.82,1.67678236484907,10.5029050262992
0.83,1.68697566460217,10.5009385489204
0.84,1.69710774167435,10.4990072925598
0.85,1.7071796861321,10.4971102182279
0.86,1.71719255607319,10.495246329344
0.87,1.72714737892406,10.4934146695363
0.88,1.73704515267029,10.49161432058
0.89,1.74688684702428,10.4898444004626
0.9,1.75667340453412,10.4881040615686
0.91,1.76640574163712,10.4863924889736
0.92,1.77608474966137,10.484708898841
0.93,1.78571129577845,10.4830525369136
0.94,1.79528622391023,10.4814226770936
0.95,1.80481035559222,10.4798186201056
0.96,1.81428449079631,10.4782396922354
0.97,1.82370940871486,10.4766852441417
0.98,1.83308586850867,10.4751546497335
0.99,1.84241461002057,10.4736473051108
1,1.85169635445673,10.4721626275637
