"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='40mm' Width='3.4mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='40mm' Width='3.4mm'"
0.01,0.34764753603236,22.5841220162296
0.02,0.491647860382553,20.9635489969247
0.03,0.60214319553418,20.2456085021833
0.04,0.695295072064721,19.8176308255662
0.05,0.777363522778665,19.5255645794939
0.06,0.851559073615112,19.3099702332462
0.07,0.919788924245992,19.1424104048303
0.08,0.983295720765107,19.0073443159138
0.09,1.04294260809708,18.8954670953451
0.1,1.09935803680771,18.8008222927603
0.11,1.1530164363109,18.7193965922217
0.12,1.20428639106836,18.6483740685431
0.13,1.25346101695339,18.5857128412192
0.14,1.30077797118924,18.5298913776158
0.15,1.34643311740337,18.479749542752
0.16,1.39059014412944,18.4343852302345
0.17,1.43338751154714,18.3930849750729
0.18,1.47494358114766,18.3552760889101
0.19,1.51536047753597,18.3204928484078
0.2,1.55472704555733,18.2883521071984
0.21,1.59312114903318,18.2585353768689
0.22,1.63061148186997,18.2307754421847
0.23,1.66725901230599,18.2048462141333
0.24,1.70311814723022,18.1805549340745
0.25,1.7382376801618,18.1577361111682
0.26,1.77266157008146,18.1362467553163
0.27,1.80642958660254,18.115962590663
0.28,1.83957784849198,18.0967750198666
0.29,1.87213927632849,18.078588669331
0.3,1.90414397546014,18.0613193884133
0.31,1.93561956194664,18.0448926066098
0.32,1.96659144153021,18.0292419754083
0.33,1.99708304965248,18.0143082382884
0.34,2.02711605896619,18.0000382849188
0.35,2.05671055956544,17.9863843550861
0.36,2.08588521619416,17.973303365124
0.37,2.11465740592814,17.9607563351713
0.38,2.14304333921554,17.9487078998931
0.39,2.17105816667023,17.9371258886608
0.4,2.19871607361543,17.9259809638316
0.41,2.22603036405262,17.915246307858
0.42,2.25301353546613,17.9048973516228
0.43,2.27967734565727,17.8949115377306
0.44,2.3060328726218,17.8852681135623
0.45,2.332090568336,17.8759479497665
0.46,2.3578603071919,17.8669333805762
0.47,2.38335142971834,17.8582080629131
0.48,2.40857278213672,17.8497568517229
0.49,2.43353275222652,17.8415656893781
0.5,2.45823930191277,17.8336215073072
0.51,2.48269999693437,17.8259121382878
0.52,2.50692203390678,17.818426238061
0.53,2.53091226505319,17.81115321512
0.54,2.55467722084534,17.8040831676839
0.55,2.57822313076573,17.7972068270032
0.56,2.60155594237848,17.7905155062593
0.57,2.62468133887414,17.7840010544166
0.58,2.6476047552351,17.7776558144705
0.59,2.67033139315196,17.7714725856038
0.6,2.69286623480675,17.7654445888274
0.61,2.71521405562649,17.7595654357316
0.62,2.73737943609961,17.7538291000211
0.63,2.75936677273798,17.7482298915453
0.64,2.78118028825888,17.7427624325687
0.65,2.8028240410538,17.7374216360575
0.66,2.82430193400396,17.7322026857827
0.67,2.84561772269711,17.7271010180627
0.68,2.86677502309429,17.7221123049879
0.69,2.88777731869108,17.7172324389874
0.7,2.90862796721341,17.7124575186133
0.71,2.92933020688439,17.7077838354297
0.72,2.94988716229532,17.7032078619065
0.73,2.9703018499109,17.6987262402293
0.74,2.99057718323629,17.6943357719432
0.75,3.0107159776709,17.6900334083589
0.76,3.03072095507195,17.6858162416553
0.77,3.05059474804858,17.6816814966198
0.78,3.0703399040059,17.6776265229731
0.79,3.08995888895635,17.6736487882296
0.8,3.10945409111466,17.6697458710506
0.81,3.12882782429124,17.6659154550502
0.82,3.14808233109753,17.662155323018
0.83,3.16721978597599,17.6584633515251
0.84,3.18624229806636,17.6548375058858
0.85,3.20515191391868,17.6512758354447
0.86,3.22395062006321,17.647776469167
0.87,3.24264034544618,17.6443376115085
0.88,3.26122296373993,17.6409575385437
0.89,3.27970029553526,17.6376345943347
0.9,3.29807411042315,17.634367187522
0.91,3.31634612897279,17.6311537881223
0.92,3.33451802461198,17.6279929245181
0.93,3.3525914254158,17.6248831806259
0.94,3.37056791580898,17.6218231932304
0.95,3.38844903818698,17.6188116494738
0.96,3.40623629446045,17.6158472844887
0.97,3.42393114752751,17.612928879166
0.98,3.44153502267787,17.6100552580488
0.99,3.4590493089327,17.6072252873425
1,3.4764753603236,17.6044378730355
