Freq (kHz),Reff (mOhm),Leff (nH)
10,1.40804,11.114314887419255
110,1.622930172172195,9.76776995250976
210,1.8157449830151167,9.652739827632937
310,2.003709901408106,9.597697343380391
410,2.180419331552235,9.529479297449466
510,2.346793153965002,9.457051652460823
610,2.5037522573405324,9.389391674150584
710,2.6522175303729543,9.33547662825488
810,2.793109861756394,9.304283780509833
910,2.927350140184979,9.30479039665157
