"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='20.6mm' Width='1.2mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='20.6mm' Width='1.2mm'"
0.01,0.295465212130472,15.7362812653166
0.02,0.417850910204358,14.3589582548141
0.03,0.511760759279094,13.7487815137482
0.04,0.590930424260945,13.3850438142036
0.05,0.660680299310132,13.1368170718634
0.06,0.723739006462848,12.9535837028736
0.07,0.781727472368175,12.8111748113496
0.08,0.835701820408715,12.6963823089524
0.09,0.886395636391417,12.6012979971659
0.1,0.934343039677104,12.5208594961718
0.11,0.979947247239542,12.4516558937039
0.12,1.02352151855819,12.3912939384194
0.13,1.06531497245226,12.3380382385951
0.14,1.10552959350271,12.2905956455215
0.15,1.14433184596496,12.2479801619092
0.16,1.18186084852189,12.2094250886471
0.17,1.21823427830947,12.1743240527196
0.18,1.25355273061307,12.1421903269984
0.19,1.28790300100854,12.1126280937927
0.2,1.32136059862026,12.085311717477
0.21,1.35399169981407,12.059970515142
0.22,1.38585468745634,12.0363773808894
0.23,1.4170013783776,12.0143401619463
0.24,1.4474780129257,11.9936950329821
0.25,1.47732606065236,11.9743013435358
0.26,1.50658288224111,11.9560375664995
0.27,1.53528227783728,11.9387980799765
0.28,1.56345494473635,11.9224905872201
0.29,1.59112886209755,11.9070340303285
0.3,1.61832961641909,11.8923568897743
0.31,1.64508067855606,11.8783957881782
0.32,1.67140364081743,11.8650943360215
0.33,1.69731842095615,11.8524021712606
0.34,1.72284343853305,11.8402741554905
0.35,1.74799576809433,11.8286696973647
0.36,1.77279127278283,11.8175521801282
0.37,1.79724472135385,11.8068884748454
0.38,1.82136989104728,11.7966485245614
0.39,1.84517965835116,11.7868049874988
0.4,1.86868607935421,11.7773329296312
0.41,1.89190046111087,11.768209558758
0.42,1.91483342521766,11.7594139936167
0.43,1.93749496461542,11.750927062705
0.44,1.95989449447908,11.7427311283973
0.45,1.9820408979304,11.7348099326815
0.46,2.00394256720297,11.7271484614441
0.47,2.02560744080074,11.7197328247228
0.48,2.04704303711638,11.712550150755
0.49,2.06825648491331,11.70558849198
0.5,2.08925455102179,11.6988367414353
0.51,2.110043665554,11.6922845582134
0.52,2.13062994490453,11.6859223008428
0.53,2.15101921276942,11.6797409676149
0.54,2.17121701938854,11.6737321430182
0.55,2.19122865919141,11.6678879495541
0.56,2.21105918700542,11.662201004306
0.57,2.23071343296722,11.656664379719
0.58,2.25019601626163,11.6512715681143
0.59,2.26951135779907,11.646016449526
0.6,2.28866369192992,11.6408932624999
0.61,2.30765707728371,11.6358965775343
0.62,2.32649540681191,11.6310212728885
0.63,2.34518241710453,11.6262625125102
0.64,2.36372169704378,11.6216157258688
0.65,2.38211669585158,11.6170765895006
0.66,2.40037073058187,11.6126410100985
0.67,2.41848699310404,11.608305108995
0.68,2.43646855661893,11.6040652079051
0.69,2.45431838174513,11.5999178158095
0.7,2.47203932220977,11.5958596168723
0.71,2.48963413017468,11.5918874592985
0.72,2.50710546122615,11.5879983450445
0.73,2.5244558790538,11.5841894203081
0.74,2.54168785984207,11.5804579667264
0.75,2.55880379639547,11.5768013932221
0.76,2.57580600201707,11.5732172284416
0.77,2.59269671415815,11.5697031137352
0.78,2.60947809785516,11.5662567966338
0.79,2.62615224896903,11.5628761247809
0.8,2.64272119724053,11.5595590402838
0.81,2.65918690917425,11.556303574449
0.82,2.6755512907629,11.5531078428721
0.83,2.69181619006245,11.5499700408535
0.84,2.70798339962815,11.5468884391163
0.85,2.72405465882036,11.5438613798009
0.86,2.74003165598871,11.5408872727172
0.87,2.75591603054221,11.5379645918342
0.88,2.77170937491268,11.53509187199
0.89,2.78741323641798,11.5322677058049
0.9,2.80302911903131,11.5294907407843
0.91,2.81855848506231,11.5267596765975
0.92,2.8340027567552,11.5240732625185
0.93,2.84936331780898,11.5214302950196
0.94,2.86464151482427,11.518829615506
0.95,2.87983865868107,11.5162701081813
0.96,2.89495602585139,11.5137506980363
0.97,2.90999485965054,11.5112703489518
0.98,2.9249563714305,11.5088280619082
0.99,2.93984174171863,11.506422873295
1,2.95465212130472,11.5040538533132
