"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='1.2mm' Width='7.8mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH] - Length='1.2mm' Width='7.8mm'"
0.01,2.38885878461322,122.738085925379
0.02,3.37835649179412,111.602324293191
0.03,4.13762478705733,106.668998784067
0.04,4.77771756922643,103.728151729394
0.05,5.34165063104268,101.721219577417
0.06,5.85148508986756,100.239763808092
0.07,6.32032626133858,99.0883770540604
0.08,6.75671298358823,98.1602709133003
0.09,7.16657635383964,97.3915069973993
0.1,7.55423476787936,96.7411555792562
0.11,7.92294826570646,96.1816391729418
0.12,8.27524957411465,95.6936081587383
0.13,8.61315283776553,95.2630317621509
0.14,8.93829111740786,94.8794547771942
0.15,9.25201028924827,94.5349053405492
0.16,9.55543513845286,94.2231846314019
0.17,9.84951709364491,93.9393900776549
0.18,10.1350694753824,93.6795864533368
0.19,10.4127940325184,93.4405735422154
0.2,10.6833012620854,93.2197185554135
0.21,10.9471262050503,93.0148330009552
0.22,11.2047408913425,92.8240807103235
0.23,11.4565642639906,92.6459081136882
0.24,11.7029701797351,92.4789906707508
0.25,11.9442939230661,92.3221912118034
0.26,12.1808375579603,92.174527180905
0.27,12.412874361172,92.0351446169621
0.28,12.6406525226772,91.903297293735
0.29,12.8643982561132,91.7783298519033
0.3,13.0843184302703,91.6596640506293
0.31,13.3006028088029,91.5467874789675
0.32,13.5134259671765,91.439244223355
0.33,13.7229489419433,91.3366271028277
0.34,13.9293206566583,91.2385711699367
0.35,14.1326791603302,91.1447482405478
0.36,14.3331527076793,91.0548622654045
0.37,14.530860705219,90.9686453945323
0.38,14.7259145429852,90.8858546151594
0.39,14.918418328366,90.806268866928
0.4,15.1084695357587,90.7296865563329
0.41,15.2961595835613,90.6559234066931
0.42,15.481574348192,90.5848105914083
0.43,15.6647946233399,90.5161931074187
0.44,15.8458965314129,90.4499283531757
0.45,16.024951893128,90.3858848814122
0.46,16.2020285603344,90.3239413018733
0.47,16.377190716442,90.2639853131553
0.48,16.5504991482293,90.205912846074
0.49,16.7220114922925,90.1496273036909
0.5,16.8917824589706,90.0950388853659
0.51,17.0598640362111,90.0420639840737
0.52,17.2263056755311,89.9906246477803
0.53,17.3911544619573,89.9406480969854
0.54,17.5544552696027,89.8920662916371
0.55,17.7162509043337,89.8448155415568
0.56,17.8765822348157,89.7988361553019
0.57,18.0354883130719,89.7540721230614
0.58,18.1930064855641,89.7104708297552
0.59,18.3491724956904,89.6679827949943
0.6,18.5040205784965,89.6265614369794
0.61,18.6575835483121,89.5861628577767
0.62,18.8098928799467,89.5467456477202
0.63,18.9609787840157,89.5082707069599
0.64,19.1108702769057,89.4707010824058
0.65,19.2595952458389,89.4340018185241
0.66,19.4071805094497,89.3981398206151
0.67,19.5536518742456,89.3630837293563
0.68,19.6990341872898,89.3288038055323
0.69,19.8433513854096,89.2952718239855
0.7,19.9866265412065,89.2624609759306
0.71,20.128881906119,89.2303457788629
0.72,20.2701389507647,89.1989019933732
0.73,20.41041840277,89.1681065462516
0.74,20.549740282275,89.1379374593268
0.75,20.6881239352866,89.1083737835411
0.76,20.8255880650368,89.0793955378125
0.77,20.9621507614898,89.050983652278
0.78,21.0978295291305,89.0231199155523
0.79,21.2326413131545,88.99578692567
0.8,21.3666025241707,88.9689680444115
0.81,21.4997290615189,88.9426473547395
0.82,21.6320363352955,88.9168096210996
0.83,21.7635392871741,88.8914402523595
0.84,21.8942524101005,88.8665252671824
0.85,22.0241897669362,88.8420512616471
0.86,22.1533650081165,88.8180053789454
0.87,22.2817913883885,88.7943752810009
0.88,22.4094817826849,88.7711491218665
0.89,22.5364487011887,88.7483155227704
0.9,22.6627043036381,88.7258635486918
0.91,22.7882604129179,88.703782686356
0.92,22.9131285279811,88.6820628235489
0.93,23.0373198361399,88.6606942296576
0.94,23.1608452247631,88.6396675373536
0.95,23.2837152924153,88.6189737253383
0.96,23.4059403594702,88.5986041020802
0.97,23.527530478227,88.5785502904767
0.98,23.6484954425588,88.5588042133784
0.99,23.7688447971194,88.5393580799204
1,23.8885878461322,88.5202043726065
