"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='20.6mm' Width='5.6mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='20.6mm' Width='5.6mm'"
0.01,0.116965695240497,8.06749588677771
0.02,0.165414472541509,7.52225557800317
0.03,0.202590526899158,7.2807051557936
0.04,0.233931390480994,7.13671245829245
0.05,0.261543245593275,7.03844703717653
0.06,0.286506270749101,6.96591051674959
0.07,0.309462141532127,6.90953516587349
0.08,0.330828945083018,6.86409230390518
0.09,0.350897085721491,6.82645131546402
0.1,0.369878005065087,6.79460815827796
0.11,0.387931324455788,6.76721255587377
0.12,0.405181053798317,6.74331709280039
0.13,0.421725811659907,6.72223478023115
0.14,0.437645557595756,6.70345369990413
0.15,0.453006189744018,6.68658352546708
0.16,0.467862780961989,6.67132074404981
0.17,0.482261916050375,6.65742531100945
0.18,0.496243417624528,6.64470454587251
0.19,0.509841645414303,6.63300175644819
0.2,0.523086491186551,6.62218803349185
0.21,0.536004152152714,6.61215622186854
0.22,0.548617740314732,6.60281641725716
0.23,0.560947768380565,6.59409255221646
0.24,0.573012541498202,6.58591977327838
0.25,0.584828476202486,6.57824240120129
0.26,0.596410362452242,6.57101232709758
0.27,0.607771580697475,6.56418773846932
0.28,0.618924283064253,6.55773209784034
0.29,0.629879545651145,6.55161331685152
0.3,0.640647497374949,6.5458030830961
0.31,0.651237429633677,6.54027630739641
0.32,0.661657890166037,6.53501066685618
0.33,0.671916763804911,6.52998622467343
0.34,0.682021342294475,6.52518511192581
0.35,0.691978384928496,6.52059125973323
0.36,0.701794171442983,6.5161901726356
0.37,0.711474548339177,6.51196873589435
0.38,0.721024969607522,6.50791505087487
0.39,0.730450532658182,6.50401829379861
0.4,0.739756010130174,6.50026859404257
0.41,0.748945878142611,6.49665692886742
0.42,0.758024341462661,6.49317503201614
0.43,0.766995355991803,6.48981531407375
0.44,0.775862648911575,6.48657079284047
0.45,0.784629736779826,6.48343503226363
0.46,0.793299941826716,6.48040208871204
0.47,0.801876406664621,6.47746646357195
0.48,0.810362107596633,6.47462306130379
0.49,0.81875986668348,6.47186715223154
0.5,0.827072362707546,6.46919433944638
0.51,0.835302141154766,6.46660052929743
0.52,0.843451623319814,6.46408190501917
0.53,0.851523114626915,6.46163490310884
0.54,0.859518812247303,6.45925619212132
0.55,0.867440812084667,6.45694265359431
0.56,0.875291115191512,6.45469136485566
0.57,0.883071633672089,6.45249958349692
0.58,0.890784196121252,6.45036473332587
0.59,0.89843055264304,6.44828439163417
0.6,0.906012379488035,6.44625627763713
0.61,0.913531283344289,6.44427824196018
0.62,0.92098880531294,6.44234825706178
0.63,0.92838642459638,6.44046440849595
0.64,0.935725561923977,6.4386248869285
0.65,0.943007582737825,6.43682798083159
0.66,0.950233800158744,6.43507206978939
0.67,0.957405477750792,6.43335561835539
0.68,0.964523832100749,6.43167717040832
0.69,0.971590035227517,6.43003534395977
0.7,0.978605216834909,6.42842882637117
0.71,0.98557046642013,6.4268563699426
0.72,0.992486835249056,6.42531678783985
0.73,0.999355338208477,6.42380895032931
0.74,1.00617695554454,6.42233178129376
0.75,1.01295263449579,6.42088425500447
0.76,1.01968329082861,6.41946539312769
0.77,1.02636981028192,6.4180742619457
0.78,1.03301304992785,6.41670996977443
0.79,1.03961383945402,6.41537166456143
0.8,1.0461729823731,6.41405853164952
0.81,1.05269125716447,6.4127697916928
0.82,1.05916941835271,6.41150469871279
0.83,1.06560819752698,6.41026253828389
0.84,1.07200830430543,6.40904262583786
0.85,1.07837042724793,6.40784430507851
0.86,1.08469523472079,6.40666694649792
0.87,1.09098337571618,6.40550994598685
0.88,1.09723548062946,6.40437272353217
0.89,1.10345216199673,6.40325472199507
0.9,1.10963401519526,6.40215540596411
0.91,1.11578161910898,6.40107426067781
0.92,1.12189553676113,6.40001079101182
0.93,1.12797631591609,6.39896452052614
0.94,1.13402448965211,6.39793499056824
0.95,1.14004057690673,6.39692175942828
0.96,1.1460250829964,6.39592440154278
0.97,1.15197850011188,6.39494250674367
0.98,1.15790130779056,6.39397567954947
0.99,1.16379397336736,6.39302353849604
1,1.16965695240497,6.39208571550424
