"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,141.045672702539,14.8776486058329,
11,147.929949526535,14.7731808862801,
12,154.507793155343,14.6820602568409,
13,160.816809832012,14.6016670212948,
14,166.887490553836,14.5300490804459,
15,172.744964274412,14.4657180018335,
16,178.410231940265,14.4075163990664,
17,183.901057745164,14.354528909304,
18,189.232627257039,14.3060207836123,
19,194.418042880316,14.2613945072659,
20,199.468703249968,14.220158510318,
21,204.394598155223,14.181904177823,
22,209.204540901593,14.1462886774071,
23,213.906353605164,14.1130219409053,
24,218.507016572623,14.0818566624247,
25,223.012789925331,14.0525805201731,
26,227.429313522006,14.0250100604085,
27,231.761689733014,13.9989858394272,
28,236.014552531646,13.9743685287796,
29,240.192125569354,13.9510357658451,
30,244.298271308529,13.9288795868518,
31,248.336532840311,13.9078043191753,
32,252.310169676052,13.8877248388592,
33,256.222188541057,13.8685651208463,
34,260.075369997969,13.8502570255302,
35,263.872291569978,13.8327392774098,
36,267.615347910397,13.8159566009109,
37,271.306768467014,13.7998589855678,
38,274.948633011377,13.7844010582872,
39,278.542885340187,13.7695415447273,
40,282.091345405079,13.7552428052164,
41,285.595720085681,13.74147043332,
42,289.057612786915,13.7281929072994,
43,292.478532013686,13.7153812864194,
44,295.859899053069,13.70300894544,
45,299.203054874952,13.6910513417453,
46,302.509266346197,13.6794858104716,
47,305.779731839973,13.6682913837413,
48,309.015586310686,13.6574486307204,
49,312.217905895463,13.6469395157236,
50,315.387712095065,13.6367472720073,
51,318.525975580282,13.6268562892424,
52,321.633619664024,13.6172520129473,
53,324.711523474288,13.607920854408,
54,327.760524858934,13.5988501098164,
55,330.781423049444,13.5900278875324,
56,333.774981107672,13.5814430425229,
57,336.741928176813,13.5730851171549,
58,339.682961555402,13.5649442876281,
59,342.598748611054,13.5570113154227,
60,345.489928548824,13.5492775032167,
61,348.357114047471,13.5417346547946,
62,351.200892775479,13.5343750385273,
63,354.021828797469,13.527191354053,
64,356.820463880529,13.5201767018331,
65,359.597318709035,13.5133245552942,
66,362.35289401568,13.5066287353006,
67,365.087671635663,13.5000833867301,
68,367.802115490328,13.4936829569519,
69,370.496672505937,13.4874221760262,
70,373.171773472731,13.4812960384649,
71,375.82783384895,13.4752997864108,
72,378.465254514077,13.4694288941061,
73,381.084422475147,13.4636790535346,
74,383.685711529668,13.458046161136,
75,386.269482888357,13.4525263054963,
76,388.836085760633,13.4471157559329,
77,391.385857905547,13.4418109518976,
78,393.919126150626,13.4366084931295,
79,396.43620688086,13.4315051304947,
80,398.937406499936,13.4264977574589,
81,401.423021865595,13.4215834021405,
82,403.89334070088,13.4167592198979,
83,406.348641982877,13.4120224864101,
84,408.789196310445,13.4073705912114,
85,411.215266252301,13.4028010316458,
86,413.627106676729,13.3983114072092,
87,416.024965064085,13.3938994142502,
88,418.409081803185,13.3895628410035,
89,420.779690472574,13.3852995629301,
90,423.137018107618,13.3811075383442,
91,425.48128545427,13.3769848043047,
92,427.812707210327,13.3729294727526,
93,430.131492254915,13.3689397268779,
94,432.437843866898,13.3650138177,
95,434.731959932856,13.3611500608456,
96,437.014033145246,13.3573468335123,
97,439.284251191282,13.3536025716051,
98,441.54279693309,13.3499157670338,
99,443.789848579604,13.3462849651599,
100,446.025579850661,13.3427087623865,
101,448.250160133747,13.3391858038773,
102,450.463754633756,13.3357147814008,
103,452.666524516174,13.332294431289,
104,454.858627044012,13.3289235325042,
105,457.040215708831,13.3256009048079,
106,459.211440356167,13.3223254070247,
107,461.372447305642,13.3190959353952,
108,463.523379466029,13.3159114220135,
109,465.664376445546,13.312770833344,
110,467.795574657596,13.3096731688114,
111,469.917107422194,13.3066174594619,
112,472.029105063293,13.3036027666897,
113,474.131695002205,13.3006281810259,
114,476.225001847315,13.2976928209853,
115,478.309147480253,13.2947958319699,
116,480.384251138708,13.2919363852225,
117,482.450429496035,13.2891136768315,
118,484.507796737803,13.2863269267811,
119,486.556464635433,13.2835753780456,
120,488.596542617058,13.2808582957258,
121,490.628137835728,13.278174966224,
122,492.651355235084,13.2755246964571,
123,494.666297612619,13.272906813104,
124,496.673065680622,13.2703206618876,
125,498.67175812492,13.2677656068871,
126,500.662471661507,13.2652410298819,
127,502.645301091158,13.2627463297225,
128,504.620339352103,13.2602809217295,
129,506.587677570865,13.257844237118,
130,508.547405111317,13.2554357224462,
131,510.49960962205,13.2530548390871,
132,512.444377082115,13.2507010627231,
133,514.381791845209,13.2483738828602,
134,516.311936682369,13.2460728023636,
135,518.234892823235,13.2437973370111,
136,520.150739995938,13.241547015065,
137,522.059556465671,13.2393213768617,
138,523.961419072,13.2371199744169,
139,525.856403264955,13.2349423710469,
140,527.744583139956,13.2327881410048,
141,529.62603147162,13.2306568691307,
142,531.500819746488,13.2285481505157,
143,533.36901819472,13.2264615901786,
144,535.230695820794,13.2243968027554,
145,537.085920433241,13.2223534121999,
146,538.934758673472,13.2203310514966,
147,540.7772760437,13.218329362383,
148,542.613536934028,13.2163479950838,
149,544.443604648697,13.2143866080536,
150,546.267541431557,13.2124448677298,
151,548.085408490765,13.2105224482942,
152,549.897266022755,13.2086190314435,
153,551.703173235492,13.2067343061679,
154,553.503188371054,13.2048679685374,
155,555.297368727544,13.2030197214961,
156,557.085770680373,13.2011892746636,
157,558.86844970293,13.1993763441433,
158,560.645460386658,13.1975806523376,
159,562.416856460561,13.1958019277691,
160,564.182690810158,13.1940399049081,
161,565.943015495908,13.1922943240067,
162,567.697881771116,13.1905649309373,
163,569.447340099349,13.1888514770375,
164,571.191440171362,13.1871537189599,
165,572.930230921572,13.1854714185268,
166,574.663760544074,13.18380434259,
167,576.392076508229,13.182152262895,
168,578.115225573829,13.1805149559496,
169,579.83325380586,13.1788922028972,
170,581.546206588868,13.1772837893937,
171,583.254128640949,13.1756895054885,
172,584.957064027373,13.1741091455096,
173,586.655056173843,13.172542507952,
174,588.348147879422,13.1709893953698,
175,590.036381329116,13.1694496142718,
176,591.719798106138,13.1679229750199,
177,593.398439203862,13.1664092917315,
178,595.072345037468,13.1649083821841,
179,596.741555455293,13.1634200677231,
180,598.406109749904,13.1619441731726,
181,600.066046668885,13.1604805267488,
182,601.721404425367,13.1590289599762,
183,603.372220708285,13.1575893076056,
184,605.018532692395,13.1561614075357,
185,606.660377048039,13.154745100736,
186,608.297789950679,13.1533402311726,
187,609.930807090191,13.1519466457359,
188,611.559463679946,13.1505641941705,
189,613.183794465668,13.1491927290076,
190,614.803833734083,13.1478321054979,
191,616.419615321363,13.1464821815485,
192,618.031172621372,13.1451428176601,
193,619.638538593718,13.1438138768663,
194,621.24174577162,13.1424952246751,
195,622.840826269587,13.1411867290114,
196,624.435811790926,13.1398882601617,
197,626.026733635077,13.1385996907201,
198,627.613622704778,13.1373208955356,
199,629.196509513066,13.136051751661,
200,630.775424190129,13.1347921383036,
201,632.350396489991,13.1335419367765,
202,633.921455797057,13.1323010304519,
203,635.48863113251,13.1310693047153,
204,637.051951160564,13.1298466469211,
205,638.611444194585,13.1286329463492,
206,640.167138203067,13.127428094163,
207,641.719060815491,13.1262319833683,
208,643.267239328047,13.1250445087736,
209,644.811700709237,13.1238655669509,
210,646.352471605353,13.1226950561982,
211,647.889578345848,13.1215328765025,
212,649.423046948575,13.1203789295039,
213,650.952903124936,13.1192331184607,
214,652.479172284904,13.118095348215,
215,654.001879541951,13.1169655251603,
216,655.521049717869,13.1158435572081,
217,657.036707347487,13.1147293537573,
218,658.548876683302,13.113622825663,
219,660.057581699998,13.1125238852064,
220,661.562846098888,13.1114324460661,
221,663.064693312253,13.1103484232892,
222,664.563146507601,13.1092717332638,
223,666.058228591836,13.1082022936914,
224,667.549962215343,13.1071400235614,
225,669.038369775992,13.1060848431243,
226,670.523473423062,13.1050366738672,
227,672.005295061088,13.1039954384893,
228,673.483856353625,13.1029610608774,
229,674.959178726952,13.101933466083,
230,676.431283373687,13.1009125802995,
231,677.900191256341,13.0998983308396,
