"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='20.6mm' Width='7.8mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='20.6mm' Width='7.8mm'"
0.01,85.5749462780441,6.81422344530092
0.02,121.021249625759,6.4153123796584
0.03,148.22015480855,6.23858821825773
0.04,171.149892556088,6.13323966005222
0.05,191.351397048599,6.06134628896
0.06,209.614953147291,6.0082768071263
0.07,226.410026309417,5.96703122984222
0.08,242.042499251518,5.93378412723095
0.09,256.724838834132,5.90624506496931
0.1,270.611740885168,5.88294783700929
0.11,283.819988259093,5.86290454825549
0.12,296.440309617099,5.84542204653062
0.13,308.544856700564,5.82999771410717
0.14,320.192129864027,5.8162570191391
0.15,331.430341787459,5.80391438937758
0.16,342.299785112176,5.79274776742786
0.17,352.834542410933,5.78258153079332
0.18,363.063748877277,5.77327470975514
0.19,373.012542924916,5.76471266449708
0.2,382.702794097199,5.75680108188176
0.21,392.153668910917,5.7494615646073
0.22,401.382076668581,5.74262833648667
0.23,410.403024966036,5.73624574473052
0.24,419.229906294581,5.73026634096491
0.25,427.874731390221,5.72464938890299
0.26,436.348320946401,5.71935969091301
0.27,444.660464425649,5.71436665595492
0.28,452.820052618834,5.70964355232287
0.29,460.835189068949,5.7051669033932
0.3,468.713284337775,5.70091599512082
0.31,476.461136237988,5.69687247165337
0.32,484.084998503036,5.69302000101723
0.33,491.590639868351,5.68934399696338
0.34,498.983395151246,5.6858313861538
0.35,506.268209615373,5.68247041220514
0.36,513.449677668265,5.67925046988641
0.37,520.53207675237,5.67616196413602
0.38,527.519397139693,5.67319618962361
0.39,534.415368219436,5.67034522740966
0.4,541.223481770336,5.6676018559064
0.41,547.947012629958,5.66495947385838
0.42,554.589037108187,5.66241203347099
0.43,561.152449438721,5.65995398214374
0.44,567.639976518185,5.6575802115295
0.45,574.054191145798,5.65528601285567
0.46,580.397523945913,5.65306703761718
0.47,586.672274130145,5.65091926289452
0.48,592.880619234198,5.64883896066707
0.49,599.024623946309,5.64682267058886
0.5,605.106248128795,5.64486717577449
0.51,611.127354121051,5.64296948120947
0.52,617.089713401129,5.64112679445534
0.53,622.995012673438,5.63933650836686
0.54,628.844859441872,5.63759618557777
0.55,634.640787120523,5.63590354454526
0.56,640.384259728054,5.6342564469713
0.57,646.076676206422,5.63265288644322
0.58,651.719374400077,5.63109097815615
0.59,657.313634727683,5.62956894959777
0.6,662.860683574918,5.62808513209055
0.61,668.361696433823,5.62663795309979
0.62,673.817800811457,5.62522592922682
0.63,679.230078928251,5.62384765981641
0.64,684.599570224353,5.62250182111569
0.65,689.927273690393,5.62118716092927
0.66,695.21415003749,5.61990249372154
0.67,700.461123719824,5.61864669612249
0.68,705.669084821866,5.61741870279841
0.69,710.838890821134,5.61621750265299
0.7,715.971368236405,5.61504213532793
0.71,721.067314170321,5.61389168797563
0.72,726.127497754554,5.61276529227933
0.73,731.152661504955,5.61166212169845
0.74,736.143522593434,5.61058138891949
0.75,741.100774042748,5.60952234349435
0.76,746.025085849833,5.6084842696503
0.77,750.917106042831,5.60746648425673
0.78,755.777461676538,5.6064683349359
0.79,760.606759770593,5.60548919830554
0.8,765.405588194397,5.60452847834263
0.81,770.174516502397,5.60358560485878
0.82,774.914096723108,5.60266003207799
0.83,779.624864104962,5.60175123730912
0.84,784.307337821833,5.6008587197054
0.85,788.962021640878,5.59998199910459
0.86,793.589404555121,5.5991206149434
0.87,798.189961383029,5.5982741252408
0.88,802.764153337163,5.59744210564509
0.89,807.312428563826,5.59662414853998
0.9,811.835222655504,5.59581986220544
0.91,816.332959137754,5.59502887002945
0.92,820.806049932073,5.59425080976701
0.93,825.254895796191,5.59348533284303
0.94,829.679886743118,5.59273210369616
0.95,834.081402440171,5.59199079916075
0.96,838.459812589162,5.59126110788421
0.97,842.815477288797,5.5905427297776
0.98,847.148747380313,5.58983537549707
0.99,851.459964777278,5.58913876595417
1,855.749462780441,5.58845263185325
