"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='10.9mm' Width='10mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='10.9mm' Width='10mm'"
0.01,28.337936996619,2.5952445037284
0.02,40.0758948302929,2.46314606677814
0.03,49.0827466598299,2.40462428710584
0.04,56.675873993238,2.36973836622647
0.05,63.3655534665463,2.34593104984363
0.06,69.4134860048542,2.32835721897308
0.07,74.9751339616705,2.31469884556706
0.08,80.1517896605857,2.30368914775134
0.09,85.013810989857,2.29456965372582
0.1,89.6124250996672,2.28685483289518
0.11,93.986304350516,2.28021754618203
0.12,98.1654933196597,2.27442825791519
0.13,102.173884882178,2.26932052744685
0.14,106.030851289334,2.26477032945982
0.15,109.75235805378,2.26068309739287
0.16,113.351747986476,2.2569852974755
0.17,116.840307449159,2.25361877274166
0.18,120.227684490879,2.25053684140907
0.19,123.522203636685,2.24770154077918
0.2,126.731106933093,2.24508163928408
0.21,129.860741325896,2.24265117584641
0.22,132.916706289825,2.24038836884053
0.23,135.903971554035,2.23827478897951
0.24,138.826972009708,2.23629472384881
0.25,141.689684983095,2.23443468372531
0.26,144.495693720723,2.23268301299817
0.27,147.24823997949,2.2310295815183
0.28,149.950267923341,2.2294655371458
0.29,152.604461020987,2.22798310565338
0.3,155.213273262084,2.22657542763498
0.31,157.778955725898,2.22523642459439
0.32,160.303579321171,2.22396068823794
0.33,162.789054350725,2.22274338836445
0.34,165.237147426442,2.2215801957696
0.35,167.649496160448,2.2204672173554
0.36,170.027621979714,2.21940094122518
0.37,172.372941348986,2.21837818999746
0.38,174.686775637211,2.21739608092308
0.39,176.970359822625,2.21645199166434
0.4,179.224850199334,2.21554353080986
0.41,181.451331221896,2.21466851236983
0.42,183.650821602906,2.21382493363165
0.43,185.824279760872,2.21301095586508
0.44,187.972608701032,2.21222488745328
0.45,190.096660399639,2.21146516909757
0.46,192.197239752084,2.21073036080097
0.47,194.275108136746,2.21001913038342
0.48,196.330986639319,2.20933024331986
0.49,198.365558976333,2.20866255372509
0.5,200.379474151464,2.20801499633526
0.51,202.373348873911,2.20738657935854
0.52,204.347769764355,2.20677637808569
0.53,206.303295370894,2.20618352916685
0.54,208.240458014562,2.20560722547405
0.55,210.159765481738,2.2050467114799
0.56,212.061702578668,2.20450127909217
0.57,213.946732561607,2.20397026389215
0.58,215.815298454517,2.20345304173124
0.59,217.667824264948,2.20294902564627
0.6,219.504716107561,2.2024576630587
0.61,221.326363243707,2.20197843322747
0.62,223.133139044628,2.20151084492867
0.63,224.925401885011,2.20105443433871
0.64,226.703495972952,2.20060876310002
0.65,228.467752121788,2.20017341655111
0.66,230.218488468687,2.19974800210474
0.67,231.956011144422,2.19933214775963
0.68,233.680614898317,2.19892550073309
0.69,235.392583681984,2.19852772620303
0.7,237.092191195122,2.1981385061491
0.71,238.779701396347,2.19775753828402
0.72,240.455368981757,2.1973845350668
0.73,242.119439833685,2.19701922279052
0.74,243.772151441878,2.19666134073821
0.75,245.413733299149,2.1963106404008
0.76,247.044407273369,2.19596688475186
0.77,248.664387957493,2.19562984757435
0.78,250.273882999204,2.19529931283495
0.79,251.87309341159,2.19497507410213
0.8,253.462213866185,2.19465693400431
0.81,255.041432969571,2.19434470372496
0.82,256.610933524658,2.1940382025317
0.83,258.170892777673,2.1937372573366
0.84,259.721482651792,2.19344170228547
0.85,261.262869968294,2.19315137837375
0.86,262.795216656038,2.19286613308699
0.87,264.318679950014,2.19258582006427
0.88,265.83341257965,2.19231029878253
0.89,267.339562947512,2.19203943426063
0.9,268.837275299002,2.19177309678142
0.91,270.326689883584,2.19151116163074
0.92,271.80794310807,2.19125350885202
0.93,273.281167682415,2.19100002301548
0.94,274.746492758486,2.19075059300078
0.95,276.204044062199,2.1905051117924
0.96,277.653944019417,2.19026347628667
0.97,279.096311875957,2.19002558710987
0.98,280.53126381205,2.18979134844648
0.99,281.958913051548,2.18956066787703
1,283.37936996619,2.18933345622492
