"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,1.08646588646681,16.5812466974808,
0.11,1.13949503496142,16.5007758745506,
0.12,1.19016374795544,16.4305862306274,
0.13,1.23876170395801,16.368659830299,
0.14,1.28552377319074,16.3134929839149,
0.15,1.33064352239214,16.2639391613745,
0.16,1.37428272052361,16.2191068352686,
0.17,1.41657820404501,16.178290907397,
0.18,1.45764694642461,16.1409254053077,
0.19,1.49758987465414,16.106550067191,
0.2,1.53649479169707,16.0747862398294,
0.21,1.57443864826732,16.0453191697172,
0.22,1.61148933269924,16.0178847752478,
0.23,1.64770709825777,15.99225961875,
0.24,1.68314571380337,15.9682532020606,
0.25,1.71785340065451,15.9457019750472,
0.26,1.75187360228582,15.9244646244539,
0.27,1.78524562193315,15.9044183318055,
0.28,1.81800515479938,15.885455773279,
0.29,1.8501847354042,15.8674826937229,
0.3,1.88181411605087,15.850415929327,
0.31,1.91292058894611,15.8341817840747,
0.32,1.94352926189948,15.8187146875212,
0.33,1.97366329552565,15.8039560780463,
0.34,2.00334410832257,15.7898534681427,
0.35,2.03259155478822,15.7763596576799,
0.36,2.06142408078541,15.7634320682329,
0.37,2.08985885960933,15.7510321770568,
0.38,2.11791191160851,15.7391250335451,
0.39,2.14559820972586,15.7276788443334,
0.4,2.17293177293362,15.7166646158212,
0.41,2.19992574921747,15.7060558449497,
0.42,2.22659248950401,15.6958282507232,
0.43,2.25294361371102,15.6859595402766,
0.44,2.27899006992283,15.6764292043561,
0.45,2.3047421875456,15.6672183379401,
0.46,2.33020972517456,15.6583094824276,
0.47,2.35540191380234,15.6496864863952,
0.48,2.38032749591087,15.6413343823945,
0.49,2.40499476091632,15.6332392776513,
0.5,2.42941157737435,15.6253882568493,
0.51,2.45358542230063,15.6177692954506,
0.52,2.47752340791601,15.6103711822303,
0.53,2.50123230608782,15.6031834498881,
0.54,2.52471857070506,15.5961963127609,
0.55,2.54798835819723,15.5894006107938,
0.56,2.57104754638148,15.5827877590383,
0.57,2.59390175180168,15.5763497020458,
0.58,2.6165563457043,15.5700788726053,
0.59,2.63901646877981,15.5639681543434,
0.6,2.66128704478428,15.5580108477681,
0.61,2.68337279314341,15.5522006393864,
0.62,2.70527824063032,15.5465315735734,
0.63,2.72700773219907,15.5409980269066,
0.64,2.74856544104722,15.5355946847151,
0.65,2.76995537797357,15.5303165196208,
0.66,2.79118140009035,15.5251587718746,
0.67,2.81224721894359,15.5201169313129,
0.68,2.83315640809002,15.5151867207793,
0.69,2.85391241017435,15.5103640808726,
0.7,2.87451854354651,15.505645155897,
0.71,2.89497800845505,15.5010262809052,
0.72,2.91529389284922,15.4965039697347,
0.73,2.93546917781972,15.4920749039478,
0.74,2.95550674270508,15.4877359225981,
0.75,2.97540936988859,15.4834840127479,
0.76,2.99517974930828,15.4793163006763,
0.77,3.01482048270076,15.4752300437156,
0.78,3.03433408759775,15.471222622666,
0.79,3.05372300109281,15.4672915347406,
0.8,3.07298958339414,15.4634343869955,
0.81,3.09213612117812,15.4596488902092,
0.82,3.11116483075714,15.4559328531722,
0.83,3.13007786107402,15.4522841773574,
0.84,3.14887729653464,15.4487008519394,
0.85,3.16756515968921,15.4451809491384,
0.86,3.18614341377198,15.4417226198611,
0.87,3.20461396510846,15.4383240896195,
0.88,3.22297866539848,15.4349836547047,
0.89,3.24123931388279,15.4316996785979,
0.9,3.25939765940043,15.4284705886014,
0.91,3.2774554023435,15.425294872674,
0.92,3.29541419651555,15.4221710764558,
0.93,3.31327565089925,15.4190978004699,
0.94,3.33104133133881,15.4160736974872,
0.95,3.34871276214205,15.4130974700457,
0.96,3.36629142760674,15.4101678681111,
0.97,3.38377877347563,15.407283686871,
0.98,3.4011762083241,15.4044437646528,
0.99,3.41848510488425,15.401646980958,
1,3.43570680130903,15.3988922546044,
