"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,119.470902227423,8.59707646652148,
0.11,125.302139354992,8.58822766423674,
0.12,130.873816230907,8.58050940985712,
0.13,136.217786734129,8.57369980542216,
0.14,141.359877867265,8.56763350090892,
0.15,146.321374783562,8.56218442058209,
0.16,151.120066061576,8.55725452953301,
0.17,155.770998630549,8.55276629314306,
0.18,160.287035228249,8.54865747545961,
0.19,164.6792740759,8.54487746477512,
0.2,168.957370238971,8.54138462329675,
0.21,173.129785438475,8.53814433982706,
0.22,177.203984870193,8.53512757519583,
0.23,181.186594155802,8.53230975955649,
0.24,185.083525873273,8.52966994518508,
0.25,188.90008257697,8.52719014764041,
0.26,192.641041435852,8.52485482771192,
0.27,196.310724346361,8.5226504799281,
0.28,199.913056455291,8.52056530265386,
0.29,203.45161535166,8.51858893132263,
0.3,206.92967268399,8.51671222100353,
0.31,210.35022958154,8.51492706787139,
0.32,213.716046970999,8.51322626161221,
0.33,217.029671659922,8.51160336262243,
0.34,220.293458887723,8.51005259922532,
0.35,223.509591911892,8.50856878115927,
0.36,226.680099092364,8.50714722637869,
0.37,229.806868853886,8.50578369881212,
0.38,232.891662839894,8.50447435519073,
0.39,235.936127518094,8.50321569942508,
0.4,238.941804454846,8.50200454329576,
0.41,241.910139440332,8.50083797245048,
0.42,244.842490617835,8.49971331688138,
0.43,247.74013574681,8.49862812520112,
0.44,250.604278709984,8.49758014215339,
0.45,253.436055358457,8.49656728888785,
0.46,256.236538775324,8.49558764560668,
0.47,259.006744026988,8.49463943625309,
0.48,261.747632461815,8.49372101496359,
0.49,264.460115607758,8.49283085404888,
0.5,267.145058713748,8.49196753330378,
0.51,269.803283973853,8.49112973047566,
0.52,272.435573468259,8.4903162127461,
0.53,275.042671850901,8.48952582910075,
0.54,277.62528880991,8.48875750348007,
0.55,280.184101323914,8.48801022861816,
0.56,282.719755734531,8.48728306048948,
0.57,285.232869653019,8.48657511329384,
0.58,287.724033717032,8.48588555491902,
0.59,290.193813211624,8.48521360282821,
0.6,292.642749567124,8.48455852032607,
0.61,295.071361745104,8.48391961316282,
0.62,297.480147522508,8.48329622644087,
0.63,299.869584682937,8.48268774179259,
0.64,302.240132123152,8.48209357480153,
0.65,304.592230882082,8.48151317264277,
0.66,306.926305098842,8.48094601192067,
0.67,309.242762905667,8.48039159668472,
0.68,311.541997261098,8.47984945660656,
0.69,313.824386728211,8.47931914530277,
0.7,316.090296202273,8.47880023879001,
0.71,318.340077591786,8.47829233406017,
0.72,320.574070456498,8.47779504776483,
0.73,322.792602605684,8.47730801499908,
0.74,324.995990659661,8.47683088817617,
0.75,327.184540577268,8.47636333598488,
0.76,329.3585481518,8.47590504242259,
0.77,331.518299477668,8.4754557058977,
0.78,333.664071389876,8.47501503839552,
0.79,335.796131878216,8.4745827647024,
0.8,337.914740477943,8.4741586216834,
0.81,340.020148638546,8.47374235760914,
0.82,342.112600072085,8.47333373152797,
0.83,344.192331082472,8.4729325126798,
0.84,346.259570876949,8.47253847994855,
0.85,348.314541860934,8.47215142135,
0.86,350.357459917291,8.47177113355256,
0.87,352.388534671035,8.47139742142844,
0.88,354.407969740387,8.47103009763294,
0.89,356.415962975014,8.47066898220975,
0.9,358.412706682268,8.47031390222052,
0.91,360.398387842139,8.46996469139689,
0.92,362.373188311603,8.46962118981327,
0.93,364.337285019006,8.46928324357914,
0.94,366.290850149063,8.46895070454936,
0.95,368.234051319031,8.46862343005129,
0.96,370.167051746546,8.46830128262756,
0.97,372.090010409624,8.46798412979356,
0.98,374.003082199248,8.46767184380843,
0.99,375.906418064976,8.46736430145894,
1,377.80016515394,8.46706138385523,
