Freq (kHz),Reff (mOhm),Leff (nH)
10,1.0721200000000002,8.100652377996978
110,1.230204996798734,7.148877906104132
210,1.374821614386158,7.062351889721182
310,1.5154374788319276,7.018861872838216
410,1.64710116722586,6.968556129071222
510,1.7707126141107934,6.916942111580864
610,1.8871725593289843,6.869534892394987
710,1.9973817427226916,6.831849543541429
810,2.102240904134173,6.809401137048033
910,2.202650783405686,6.807704744942638
