"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,33.7586663538038,6.60827312521052,
11,35.4063879742934,6.58326923234693,
12,36.980766146538,6.56145990726631,
13,38.4908017607282,6.54221813710843,
14,39.9437927040288,6.52507669544817,
15,41.345753481841,6.50967933247032,
16,42.7017105790847,6.49574903279203,
17,44.0159157780303,6.48306670831132,
18,45.2920036781042,6.47145650007665,
19,46.533110282638,6.46077539554557,
20,47.7419638051776,6.45090573959614,
21,48.920955258188,6.44174973202397,
22,50.0721940678894,6.43322531739624,
23,51.1975524236376,6.42526306916326,
24,52.2987010313819,6.41780379573863,
25,53.3771382238559,6.41079667882777,
26,54.4342138766361,6.40419780957796,
27,55.4711492198071,6.39796902583444,
28,56.489053374657,6.39207697994067,
29,57.4889372537325,6.38649238493732,
30,58.4717253205542,6.38118940016665,
31,59.4382655985274,6.37614512680345,
32,60.3893382374722,6.37133919080017,
33,61.3256628839719,6.36675339589107,
34,62.2479050535624,6.36237143315865,
35,63.1566816651735,6.35817863657911,
36,64.052565868627,6.35416177618493,
37,64.9360912725239,6.35030888218934,
38,65.8077556611095,6.34660909474044,
39,66.6680242736429,6.34305253500459,
40,67.5173327076076,6.33963019409062,
41,68.356089497195,6.33633383696854,
42,69.1846784103769,6.33315591904774,
43,70.003460501221,6.33008951348951,
44,70.8127759485868,6.32712824765883,
45,71.6129457077664,6.32426624738767,
46,72.4042729978159,6.3214980879398,
47,73.187044644124,6.31881875074518,
48,73.9615322930761,6.31622358511852,
49,74.7279935133982,6.31370827429718,
50,75.4866727968403,6.31126880523428,
51,76.2378024692211,6.30890144166563,
52,76.9816035214565,6.30660270003958,
53,77.7182863689972,6.30436932795671,
54,78.4480515470729,6.30219828481599,
55,79.1710903482512,6.30008672440526,
56,79.8875854080576,6.29803197920945,
57,80.5977112437347,6.29603154623974,
58,81.3016347506444,6.2940830742124,
59,81.9995156603131,6.29218435192802,
60,82.691506963682,6.29033329772052,
61,83.377755302739,6.2885279498615,
62,84.0584013333716,6.28676645781925,
63,84.7335800619855,6.28504707428402,
64,85.4034211581694,6.28336814788138,
65,86.0680492454569,6.28172811650444,
66,86.7275841720334,6.28012550120402,
67,87.3821412630515,6.2785589005822,
68,88.0318315560606,6.27702698564102,
69,88.6767620209115,6.27552849504336,
70,89.3170357653685,6.2740622307475,
71,89.9527522275492,6.27262705398108,
72,90.5840073562083,6.27122188152369,
73,91.2108937797912,6.2698456822705,
74,91.8335009651004,6.26849747405221,
75,92.4519153663451,6.26717632068896,
76,93.0662205652759,6.26588132925815,
77,93.6764974030484,6.26461164755813,
78,94.2828241044045,6.26336646175123,
79,94.8852763947116,6.26214499417147,
80,95.4839276103553,6.26094650128343,
81,96.0788488029405,6.25977027178019,
82,96.6701088377222,6.2586156248092,
83,97.2577744866486,6.25748190831611,
84,97.8419105163761,6.25636849749735,
85,98.4225797715813,6.25527479335312,
86,98.9998432538761,6.25420022133325,
87,99.5737601966039,6.25314423006885,
88,100.144388135779,6.25210629018348,
89,100.711782977407,6.25108589317806,
90,101.275999061411,6.25008255038399,
91,101.837089222374,6.24909579197986,
92,102.395104847275,6.24812516606699,
93,102.950095930423,6.24717023779988,
94,103.502111125725,6.2462305885676,
95,104.051197796473,6.24530581522274,
96,104.597402062764,6.24439552935468,
97,105.140768846714,6.2434993566041,
98,105.681341915576,6.24261693601612,
99,106.21916392288,6.24174791942946,
100,106.754276447712,6.24089197089925,
101,107.286720032226,6.24004876615137,
102,107.816534217493,6.23921799206632,
103,108.34375757777,6.23839934619065,
104,108.868427753272,6.23759253627434,
105,109.390581481534,6.23679727983247,
106,109.910254627432,6.23601330372964,
107,110.427482211928,6.23524034378587,
108,110.942298439614,6.23447814440259,
109,111.454736725108,6.23372645820748,
110,111.964829718362,6.23298504571727,
111,112.472609328941,6.23225367501707,
112,112.978106749314,6.2315321214557,
113,113.481352477216,6.2308201673557,
114,113.98237633712,6.23011760173751,
115,114.481207500863,6.22942422005674,
116,114.977874507465,6.22873982395402,
117,115.472405282185,6.22806422101663,
118,115.96482715484,6.22739722455115,
119,116.455166877432,6.22673865336682,
120,116.943450641108,6.22608833156869,
121,117.429704092483,6.22544608836029,
122,117.913952349359,6.22481175785517,
123,118.396220015867,6.22418517889691,
124,118.876531197055,6.22356619488709,
125,119.354909512944,6.22295465362089,
126,119.831378112086,6.22235040712987,
127,120.305959684633,6.22175331153154,
128,120.778676474944,6.22116322688545,
129,121.249550293756,6.22058001705538,
130,121.718602529921,6.22000354957745,
131,122.185854161746,6.21943369553368,
132,122.651325767944,6.2188703294309,
133,123.115037538203,6.21831332908463,
134,123.577009283409,6.2177625755078,
135,124.037260445523,6.21721795280392,
136,124.495810107125,6.21667934806469,
137,124.952677000647,6.21614665127159,
138,125.407879517304,6.21561975520154,
139,125.861435715733,6.2150985553362,
140,126.313363330347,6.21458294977492,
141,126.763679779434,6.21407283915097,
142,127.212402172987,6.21356812655118,
143,127.659547320287,6.21306871743854,
144,128.105131737254,6.21257451957783,
145,128.549171653566,6.21208544296406,
146,128.991683019552,6.21160139975363,
147,129.432681512883,6.21112230419803,
148,129.872182545048,6.21064807258003,
149,130.31020126764,6.21017862315223,
150,130.746752578455,6.20971387607789,
151,131.181851127397,6.20925375337384,
152,131.615511322219,6.20879817885558,
153,132.047747334091,6.20834707808426,
154,132.478573102999,6.20790037831555,
155,132.908002342994,6.20745800845045,
156,133.336048547286,6.20701989898766,
157,133.762724993187,6.20658598197778,
158,134.188044746921,6.20615619097901,
159,134.612020668291,6.20573046101442,
160,135.034665415215,6.20530872853067,
161,135.455991448137,6.20489093135821,
162,135.876011034313,6.2044770086727,
163,136.294736251975,6.20406690095789,
164,136.71217899439,6.20366054996963,
165,137.128350973797,6.20325789870115,
166,137.543263725242,6.20285889134943,
167,137.956928610311,6.20246347328274,
168,138.369356820754,6.20207159100923,
169,138.780559382025,6.20168319214651,
170,139.190547156718,6.20129822539224,
171,139.599330847914,6.20091664049567,
172,140.006921002442,6.20053838823012,
173,140.413328014056,6.20016342036622,
174,140.818562126523,6.19979168964618,
175,141.222633436643,6.19942314975871,
176,141.625551897174,6.19905775531478,
177,142.027327319702,6.19869546182418,
178,142.427969377424,6.19833622567274,
179,142.827487607867,6.19798000410027,
180,143.225891415533,6.1976267551792,
181,143.623190074489,6.19727643779383,
182,144.01939273088,6.19692901162025,
183,144.414508405389,6.19658443710681,
