"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,230.096869838625,10.3444388545035,
0.11,241.327633023006,10.3273963640763,
0.12,252.05849204389,10.3125312702312,
0.13,262.350796382235,10.2994162050889,
0.14,272.254287961359,10.2877327101628,
0.15,281.809961258114,10.2772379679007,
0.16,291.052076466142,10.2677431664228,
0.17,300.009613456313,10.2590989767065,
0.18,308.707345421452,10.2511855344367,
0.19,317.166647155897,10.2439053631964,
0.2,325.40611398538,10.2371782700211,
0.21,333.442042895043,10.230937594929,
0.22,341.288811596532,10.2251274094717,
0.23,348.959180810487,10.2197003929655,
0.24,356.46453795978,10.2146162008109,
0.25,363.815095582678,10.2098401955893,
0.26,371.02005434314,10.205342449313,
0.27,378.087738065835,10.201096950906,
0.28,385.025706449184,10.1970809708229,
0.29,391.840849807222,10.193274547263,
0.3,398.539469223061,10.1896600674025,
0.31,405.127344768966,10.1862219235513,
0.32,411.609793895269,10.1829462288914,
0.33,417.991721666183,10.1798205809667,
0.34,424.277664192228,10.1768338637252,
0.35,430.471826352627,10.1739760809008,
0.36,436.578114699213,10.1712382150337,
0.37,442.600166273436,10.1686121075954,
0.38,448.541373940271,10.1660903565815,
0.39,454.404908740189,10.1636662286433,
0.4,460.19373967725,10.1613335833795,
0.41,465.910651293878,10.1590868078473,
0.42,471.558259327561,10.1569207597027,
0.43,477.139024699293,10.1548307176578,
0.44,482.655266046011,10.152812338166,
0.45,488.10917097807,10.1508616174326,
0.46,493.502806216796,10.1489748579928,
0.47,498.838126745346,10.147148639222,
0.48,504.11698408778,10.1453797912434,
0.49,509.341133815749,10.1436653717797,
0.5,514.512242369087,10.1420026455643,
0.51,519.631893265434,10.1403890659838,
0.52,524.701592764471,10.1388222586722,
0.53,529.722775044198,10.1373000068153,
0.54,534.696806939671,10.1358202379591,
0.55,539.624992288564,10.1343810121441,
0.56,544.508575922717,10.1329805112092,
0.57,549.348747340284,10.1316170291338,
0.58,554.146644089173,10.130288963298,
0.59,558.903354889059,10.1289948065628,
0.6,563.619922516228,10.1277331400781,
0.61,568.297346472912,10.1265026267428,
0.62,572.936585460473,10.1253020052463,
0.63,577.538559673775,10.1241300846338,
0.64,582.104152932284,10.1229857393392,
0.65,586.634214661884,10.1218679046406,
0.66,591.129561739995,10.120775572496,
0.67,595.590980215342,10.1197077877216,
0.68,600.019226912626,10.1186636444811,
0.69,604.415030931378,10.1176422830553,
0.7,608.779095047401,10.1166428868667,
0.71,613.112097024423,10.1156646797357,
0.72,617.414690842904,10.1147069233462,
0.73,621.687507852291,10.1137689149038,
0.74,625.931157852479,10.1128499849684,
0.75,630.146230109725,10.1119494954458,
0.76,634.333294311793,10.111066837726,
0.77,638.492901466732,10.1102014309537,
0.78,642.625584749284,10.1093527204225,
0.79,646.731860298619,10.1085201760803,
0.8,650.812227970761,10.1077032911383,
0.81,654.86717204882,10.1069015807743,
0.82,658.897161913885,10.1061145809237,
0.83,662.902652679204,10.1053418471503,
0.84,666.884085790086,10.1045829535923,
0.85,670.841889591752,10.1038374919752,
0.86,674.776479867212,10.1031050706893,
0.87,678.688260347075,10.1023853139253,
0.88,682.577623193064,10.1016778608637,
0.89,686.44494945687,10.1009823649146,
0.9,690.290609515875,10.1002984930049,
0.91,694.114963487139,10.0996259249073,
0.92,697.918361620974,10.0989643526106,
0.93,701.701144675323,10.0983134797269,
0.94,705.463644272057,10.0976730209338,
0.95,709.206183236275,10.0970427014486,
0.96,712.929075919561,10.0964222565332,
0.97,716.63262850813,10.0958114310267,
0.98,720.317139316722,10.0952099789046,
0.99,723.982899069017,10.0946176628625,
1,727.630191165356,10.0940342539225,
