"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,0.589876084302091,33.2696549882483,
11,0.618667256539995,32.8327538897243,
12,0.646176875010148,32.4516725062063,
13,0.672562215174951,32.1154548394059,
14,0.697950795374713,31.8159368910404,
15,0.722447709005538,31.5468937929879,
16,0.74614078546244,31.3034851659625,
17,0.769104317510742,31.0818828127734,
18,0.791401813680523,30.8790138931418,
19,0.81308807037121,30.6923795027077,
20,0.834210758539552,30.5199238155119,
21,0.85481165711886,30.3599379369848,
22,0.874927624795016,30.2109880860377,
23,0.894591374937521,30.0718611501367,
24,0.913832100331216,29.9415228555682,
25,0.93267598182805,29.8190852378523,
26,0.951146606240108,29.7037810634189,
27,0.969265312515222,29.594943512608,
28,0.987051480688008,29.4919898910425,
29,1.00452277476001,29.3944084582198,
30,1.021695348181,29.3017476919781,
31,1.03858401873794,29.2136074737466,
32,1.0552024182407,29.1296318012092,
33,1.07156312130652,29.0495027251361,
34,1.08767775670339,28.9729352745423,
35,1.1035571040551,28.8996731852556,
36,1.11921117819366,28.8294852857788,
37,1.13464930303455,28.7621624241607,
38,1.14988017652273,28.6975148427002,
39,1.16491192793409,28.6353699253453,
40,1.17975216860418,28.5755702568299,
41,1.19440803698293,28.5179719438144,
42,1.20888623877211,28.4624431572293,
43,1.22319308278609,28.408862862184,
44,1.23733451307999,28.3571197075679,
45,1.25131613780933,28.3071110521451,
46,1.26514325521864,28.2587421077466,
47,1.27882087710061,28.2119251832768,
48,1.2923537500203,28.1665790158089,
49,1.30574637455927,28.1226281771549,
50,1.31900302280087,28.0800025460496,
51,1.33212775424919,28.0386368375421,
52,1.3451244303499,27.9984701824087,
53,1.35799672776016,27.9594457504237,
54,1.37074815049682,27.9215104121826,
55,1.38338204107673,27.8846144349008,
56,1.39590159074943,27.8487112082259,
57,1.40830984891107,27.8137569966254,
58,1.42060973177826,27.779710715359,
59,1.43280403039154,27.7465337274251,
60,1.44489541801108,27.7141896591996,
61,1.45688645695969,27.6826442327683,
62,1.46877960496315,27.6518651131928,
63,1.48057722103201,27.6218217691655,
64,1.49228157092488,27.5924853456869,
65,1.50389483222903,27.5638285475592,
66,1.51541909909053,27.5358255326254,
67,1.52685638662302,27.5084518138067,
68,1.53820863502148,27.4816841690924,
69,1.54947771340469,27.4555005587315,
70,1.5606654234079,27.4298800489539,
71,1.57177350254549,27.4048027416224,
72,1.58280362736105,27.3802497092766,
73,1.59375741638131,27.3562029350889,
74,1.60463643288865,27.3326452572976,
75,1.61544218752537,27.3095603177294,
76,1.62617614074242,27.2869325140595,
77,1.63683970510342,27.2647469554931,
