"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,50.7202253004572,7.69695317160678,
11,53.1958210763031,7.65938643048797,
12,55.5612230376093,7.62661932203211,
13,57.8299544430728,7.59770979973763,
14,60.0129798988585,7.57195588594639,
15,62.1193358125609,7.54882233822017,
16,64.1565741545371,7.52789295876006,
17,66.1310829542322,7.50883858178161,
18,68.0483229635562,7.49139499051897,
19,69.9130058258502,7.47534731782373,
20,71.7292305065256,7.46051879444112,
21,73.5005893480535,7.44676248185322,
22,75.2302516276804,7.43395509704892,
23,76.9210301895198,7.42199233110189,
24,78.5754351618235,7.41078525245991,
25,80.1957176931714,7.40025750990336,
26,81.7839058848118,7.39034313320462,
27,83.3418345564139,7.38098478618025,
28,84.8711700913896,7.37213236612074,
29,86.3734313208321,7.36374187125305,
30,87.8500071917323,7.35577447765063,
31,89.3021718047234,7.34819578130117,
32,90.7310972847416,7.34097517150836,
33,92.1378648545003,7.33408530955311,
34,93.5234744082953,7.32750169233562,
35,94.8888528271471,7.32120228509825,
36,96.2348612318057,7.31516721066556,
37,97.5623013348794,7.30937848520268,
38,98.8719210251865,7.30381979248049,
39,100.164419294796,7.29847629018669,
40,101.440450600914,7.29333444304166,
41,102.700628739894,7.28838187844239,
42,103.945530298433,7.28360726112663,
43,105.17569773705,7.27900018396469,
44,106.391642152606,7.27455107248225,
45,107.593845759788,7.27025110111959,
46,108.782764125729,7.26609211955936,
47,109.958828187131,7.2620665877228,
48,111.122446075219,7.25816751825433,
49,112.27400477044,7.2543884254957,
50,113.413871605927,7.250723280102,
51,114.542395636282,7.24716646857658,
52,115.659908886146,7.24371275710709,
53,116.766727491201,7.24035725917256,
54,117.863152742735,7.23709540646546,
55,118.94947204553,7.23392292273504,
56,120.025959797717,7.23083580021147,
57,121.092878200231,7.22783027831499,
58,122.150478002622,7.22490282439301,
59,123.198999191235,7.2220501162606,
60,124.238671625122,7.21926902634836,
61,125.269715624439,7.21655660728548,
62,126.292342515612,7.2139100787671,
63,127.306755137084,7.21132681557268,
64,128.313148309074,7.2088043366183,
65,129.311709270427,7.20634029493886,
66,130.302618085334,7.2039324685083,
67,131.28604802242,7.20157875181636,
68,132.262165908464,7.19927714812908,
69,133.231132458788,7.19702576236853,
70,134.193102586176,7.19482279455408,
71,135.148225690006,7.19266653375349,
72,136.096645927112,7.19055535249776,
73,137.038502465777,7.18848770161818,
74,137.973929724117,7.18646210546853,
75,138.903057594023,7.18447715749877,
76,139.8260116517,7.18253151615013,
77,140.742913355786,7.18062390104443,
78,141.653880233925,7.17875308944291,
79,142.559026058613,7.17691791295242,
80,143.458461013051,7.17511725445883,
81,144.352291847709,7.17335004526922,
82,145.240622028202,7.17161526244642,
83,146.123551875089,7.1699119263207,
84,147.001178696107,7.16823909816488,
85,147.873596911341,7.16659587802029,
86,148.740898171789,7.16498140266222,
87,149.603171471742,7.16339484369438,
88,150.460503255361,7.16183540576273,
89,151.312977517823,7.16030232488007,
90,152.160675901372,7.15879486685329,
91,153.003677786565,7.1573123258059,
92,153.84206037904,7.15585402278922,
93,154.675898792026,7.15441930447582,
94,155.505266124893,7.15300754192971,
95,156.33023353794,7.15161812944784,
96,157.150870323647,7.15025048346823,
97,157.967243974606,7.14890404154007,
98,158.779420248298,7.14757826135187,
99,159.587463228909,7.14627261981368,
100,160.391435386343,7.14498661218995,
101,161.191397632579,7.14371975127967,
102,161.987409375535,7.14247156664092,
103,162.779528570549,7.14124160385685,
104,163.567811769624,7.14002942384058,
105,164.352314168545,7.1388346021767,
106,165.13308965198,7.13765672849682,
107,165.910190836675,7.13649540588754,
108,166.683669112828,7.1353502503284,
109,167.453574683754,7.13422089015844,
110,168.219956603907,7.13310696556941,
111,168.982862815356,7.13200812812414,
112,169.742340182779,7.13092404029864,
113,170.498434527063,7.12985437504656,
114,171.251190657561,7.12879881538464,
115,172.00065240308,7.12775705399812,
116,172.746862641664,7.1267287928648,
117,173.489863329218,7.12571374289691,
118,174.229695527036,7.12471162359962,
119,174.966399428281,7.12372216274546,
120,175.700014383465,7.12274509606359,
121,176.430578924977,7.12178016694328,
122,177.158130790702,7.12082712615081,
123,177.882706946764,7.11988573155902,
124,178.604343609447,7.11895574788885,
125,179.323076266314,7.11803694646237,
126,180.038939696575,7.11712910496649,
127,180.751967990725,7.11623200722703,
128,181.462194569483,7.11534544299245,
129,182.169652202077,7.11446920772687,
130,182.874373023884,7.11360310241179,
131,183.576388553462,7.11274693335625,
132,184.275729709001,7.11190051201483,
133,184.972426824209,7.11106365481321,
134,185.666509663672,7.11023618298097,
135,186.358007437683,7.10941792239108,
136,187.046948816591,7.10860870340608,
137,187.733361944672,7.10780836073022,
138,188.417274453544,7.10701673326773,
139,189.098713475145,7.10623366398652,
140,189.777705654294,7.1054589997874,
141,190.454277160847,7.10469259137826,
142,191.128453701467,7.10393429315329,
143,191.800260531019,7.10318396307672,
144,192.469722463611,7.10244146257105,
145,193.13686388329,7.10170665640959,
146,193.8017087544,7.10097941261297,
147,194.464280631633,7.10025960234956,
148,195.124602669759,7.09954709983961,
149,195.782697633075,7.09884178226292,
150,196.438587904559,7.09814352966989,
151,197.09229549475,7.09745222489587,
152,197.743842050373,7.09676775347851,
153,198.393248862696,7.09609000357823,
154,199.040536875654,7.09541886590138,
155,199.685726693727,7.09475423362624,
156,200.328838589591,7.09409600233162,
157,200.969892511559,7.09344406992789,
158,201.608908090789,7.09279833659052,
159,202.24590464831,7.09215870469585,
160,202.880901201829,7.0915250787591,
161,203.513916472361,7.09089736537448,
162,204.144968890669,7.09027547315735,
163,204.774076603522,7.08965931268837,
164,205.401257479787,7.08904879645946,
165,206.026529116351,7.08844383882159,
166,206.649908843879,7.08784435593433,
167,207.271413732421,7.08725026571702,
168,207.891060596865,7.08666148780159,
169,208.508866002246,7.08607794348686,
170,209.12484626891,7.08549955569436,
171,209.739017477551,7.0849262489256,
172,210.3513954741,7.08435794922062,
173,210.961995874504,7.08379458411792,
174,211.570834069366,7.08323608261571,
175,212.177925228474,7.08268237513422,
176,212.783284305212,7.0821333934794,
177,213.386926040856,7.08158907080754,
178,213.988864968761,7.08104934159116,
179,214.589115418447,7.08051414158583,
180,215.187691519577,7.07998340779807,
181,215.784607205837,7.07945707845418,
182,216.379876218724,7.07893509297007,
183,216.973512111233,7.07841739192196,
184,217.565528251458,7.07790391701795,
185,218.155937826109,7.07739461107045,
186,218.744753843931,7.07688941796945,
187,219.331989139056,7.07638828265653,
188,219.917656374262,7.07589115109967,
189,220.50176804416,7.07539797026877,
190,221.084336478308,7.07490868811188,
191,221.66537384424,7.07442325353216,
192,222.244892150437,7.07394161636543,
193,222.822903249222,7.07346372735841,
194,223.399418839587,7.07298953814756,
195,223.974450469955,7.07251900123851,
196,224.54800954088,7.07205206998612,
197,225.120107307686,7.071588698575,
198,225.690754883041,7.07112884200067,
199,226.259963239478,7.07067245605118,
200,226.827743211854,7.07021949728927,
201,227.394105499759,7.06976992303498,
202,227.959060669868,7.06932369134879,
203,228.522619158239,7.06888076101516,
204,229.084791272564,7.06844109152656,
