"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,95.4962307824946,10.8806138810985,
11,100.157291811579,10.8098830797589,
12,104.610879512583,10.7481890448322,
13,108.882455527796,10.6937580876255,
14,112.992664058906,10.6452685219662,
15,116.958518888088,10.6017125913804,
16,120.794238893507,10.5623066770885,
17,124.511851481005,10.5264310245146,
18,128.1216381748,10.4935881653391,
19,131.632470074676,10.4633735468876,
20,135.052064728115,10.435454347343,
21,138.387185811018,10.4095539103117,
22,141.643800450495,10.385440118077,
23,144.827204680012,10.3629165774005,
24,147.942124578473,10.3418158476216,
25,150.992798616883,10.3219941743769,
26,153.983045311895,10.3033273486742,
27,156.916319268875,10.2857074177317,
28,159.795757960772,10.2690400479797,
29,162.624221048477,10.2532423927146,
30,165.404323646604,10.2382413541017,
31,168.138464636611,10.2239721561371,
32,170.828850899733,10.210377164887,
33,173.477518166157,10.1974049069082,
34,176.086349040622,10.1850092476725,
35,178.657088658195,10.1731487000552,
36,181.19135834026,10.1617858392359,
37,183.690667554328,10.1508868051826,
38,186.156424428278,10.1404208776379,
39,188.589945027002,10.1303601114403,
40,190.992461564989,10.1206790223146,
41,193.365129700316,10.1113543150773,
42,195.709035032587,10.1023646476541,
43,198.025198908505,10.093690425462,
44,200.314583623158,10.0853136216448,
45,202.578097092172,10.0772176194056,
46,204.816597059057,10.0693870732961,
47,207.030894893053,10.0618077868279,
48,209.221759025166,10.0544666041815,
49,211.389918063637,10.0473513141352,
50,213.536063624666,10.0404505646157,
51,215.660852909571,10.0337537865106,
52,217.764911055592,10.0272511255781,
53,219.848833284183,10.0209333814583,
54,221.913186867709,10.0147919529246,
55,223.958512932974,10.008818788636,
56,225.985328117813,10.0030063427484,
57,227.994126095129,9.99734753482819,
58,229.985378977117,9.99183571358365,
59,231.959538610971,9.98646462399259,
60,233.917037776176,9.98122837745557,
61,235.85829129235,9.97612142465178,
62,237.783697045684,9.97113853081274,
63,239.693636941158,9.96627475316339,
64,241.588477787013,9.9615254203096,
65,243.46857211725,9.95688611337664,
66,245.334258957405,9.95235264872552,
67,247.185864538297,9.94792106209359,
68,249.02370296201,9.94358759402264,
69,250.848076823957,9.93934867645285,
70,252.659277794512,9.93520092037391,
71,254.457587163383,9.93114110443618,
72,256.243276349599,9.92716616443489,
73,258.016607379725,9.92327318358939,
74,259.777833336699,9.91945938354743,
75,261.527198781458,9.91572211605131,
76,263.264940149353,9.91205885520914,
77,264.991286123164,9.90846719032006,
78,266.706457984382,9.90494481920692,
79,268.410669944288,9.90148954201476,
80,270.10412945623,9.89809925543685,
81,271.78703751039,9.89477194733417,
82,273.45958891222,9.89150569171677,
83,275.121972545645,9.8882986440588,
84,276.774371622036,9.88514903692118,
85,278.416963915885,9.88205517585836,
86,280.049921988037,9.87901543558763,
87,281.673413397275,9.87602825640131,
88,283.28760090099,9.87309214080384,
89,284.89264264562,9.87020565035726,
90,286.488692347484,9.86736740271998,
91,288.075899464599,9.86457606886515,
92,289.654409360023,9.8618303704656,
93,291.224363457232,9.85912907743403,
94,292.785899387994,9.85647100560736,
95,294.339151133183,9.85385501456563,
96,295.884249156945,9.85128000557614,
97,297.421320534584,9.84874491965439,
98,298.950489074532,9.84624873573429,
99,300.471875434737,9.8437904689401,
100,301.985597233767,9.84136916895382,
101,303.491769156926,9.83898391847158,
102,304.990503057665,9.83663383174355,
103,306.481908054511,9.83431805319197,
104,307.966090623789,9.83203575610246,
105,309.443154688331,9.82978614138401,
106,310.913201702393,9.82756843639356,
107,312.376330732978,9.825381893821,
108,313.832638537749,9.82322579063121,
109,315.282219639693,9.82109942705953,
110,316.725166398722,9.81900212565761,
111,318.161569080341,9.81693323038664,
112,319.591515921545,9.81489210575522,
113,321.015093194069,9.81287813599921,
114,322.432385265134,9.81089072430137,
115,323.843474655782,9.80892929204829,
116,325.248442096955,9.80699327812267,
117,326.647366583388,9.80508213822896,
118,328.04032542544,9.80319534425047,
119,329.427394298949,9.80133238363625,
120,330.808647293207,9.79949275881618,
121,332.184156957143,9.79767598664263,
122,333.553994343786,9.79588159785742,
123,334.918229053094,9.7941091365826,
124,336.276929273221,9.7923581598339,
125,337.630161820287,9.79062823705562,
