"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='30.3mm' Width='7.8mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='30.3mm' Width='7.8mm'"
0.01,0.1354412762773,11.1924803463662
0.02,0.191542889816479,10.5611153709654
0.03,0.234591171954257,10.2814103052868
0.04,0.2708825525546,10.1146729154558
0.05,0.302855900715372,10.0008857574135
0.06,0.331762016990709,9.91689156678227
0.07,0.358343934282928,9.85161131980439
0.08,0.383085779632958,9.79899042775543
0.09,0.4063238288319,9.75540377181904
0.1,0.428302922236399,9.71853075669172
0.11,0.449207894538668,9.68680781992484
0.12,0.469182343908514,9.65913789491614
0.13,0.488340466432089,9.63472547796445
0.14,0.50677485185705,9.61297778960055
0.15,0.52456180741106,9.59344284859005
0.16,0.5417651051092,9.57576920000064
0.17,0.558438688159771,9.55967888239476
0.18,0.574628669449437,9.54494878001877
0.19,0.590374836076923,9.53139745001235
0.2,0.605711801430745,9.51887562097946
0.21,0.620669900762154,9.50725921185333
0.22,0.635275896781647,9.49644411727244
0.23,0.649553542328382,9.48634225439073
0.24,0.663524033981418,9.47687852566386
0.25,0.6772063813865,9.46798845690961
0.26,0.690617710683864,9.45961634009217
0.27,0.70377351586277,9.45171375812591
0.28,0.716687868565856,9.44423840217492
0.29,0.729373594441897,9.43715311529074
0.3,0.741842422343665,9.43042511291632
0.31,0.754105111312966,9.42402534285618
0.32,0.766171559265916,9.41792795615044
0.33,0.778050896502015,9.41210986683448
0.34,0.789751566549388,9.40655038345988
0.35,0.801281396381344,9.40123089895022
0.36,0.8126476576638,9.39613462818225
0.37,0.823857120395329,9.39124638484916
0.38,0.834916100063778,9.38655239084061
0.39,0.845830499252263,9.38204011268362
0.4,0.856605844472798,9.37769812061859
0.41,0.867247318880018,9.37351596669899
0.42,0.877759791414601,9.36948407895247
0.43,0.888147842841397,9.36559366916084
0.44,0.898415789077336,9.36183665223515
0.45,0.908567702146117,9.35820557550146
0.46,0.918607429048285,9.35469355648888
0.47,0.92853860879466,9.35129422803768
0.48,0.938364687817027,9.3480016897308
0.49,0.9480889339411,9.34481046480556
0.5,0.957714449082395,9.34171546182945
0.51,0.967244180804836,9.3387119405297
0.52,0.976680932864179,9.33579548125496
0.53,0.986027374843146,9.33296195762133
0.54,0.995286050972126,9.33020751195773
0.55,1.00445938821802,9.32752853321811
0.56,1.0135497037141,9.324921637073
0.57,1.02255921159538,9.32238364793064
0.58,1.03149002929654,9.31991158267054
0.59,1.04034418336328,9.31750263589998
0.6,1.04912361482212,9.31515416656775
0.61,1.05783018414917,9.31286368578997
0.62,1.06646567587367,9.31062884576019
0.63,1.07503180284878,9.30844742963177
0.64,1.0835302102184,9.30631734227305
0.65,1.09196247910611,9.30423660180795
0.66,1.10033013004969,9.30220333186418
0.67,1.10863462620234,9.30021575446029
0.68,1.11687737631954,9.29827218347011
0.69,1.1250597375491,9.29637101861011
0.7,1.13318301803975,9.29451073990091
0.71,1.14124847938269,9.29268990255935
0.72,1.14925733889887,9.29090713228212
0.73,1.15721077178384,9.28916112088599
0.74,1.16510991312072,9.2874506222732
0.75,1.17295585977128,9.28577444869373
0.76,1.18074967215385,9.2841314672789
0.77,1.18849237591624,9.28252059682351
0.78,1.19618496351136,9.2809408047955
0.79,1.203828395682,9.27939110455454
0.8,1.21142360286149,9.27787055276246
0.81,1.2189714864957,9.27637824696999
0.82,1.22647292029183,9.27491332336594
0.83,1.23392875139887,9.27347495467599
0.84,1.24133980152431,9.27206234819939
0.85,1.24870686799106,9.27067474397319
0.86,1.25603072473871,9.26931141305414
0.87,1.2633121232725,9.26797165590952
0.88,1.27055179356329,9.26665480090895
0.89,1.27775044490171,9.26536020290948
0.9,1.2849087667092,9.26408724192755
0.91,1.29202742930859,9.26283532189137
0.92,1.29910708465676,9.26160386946809
0.93,1.30614836704144,9.26039233296057
0.94,1.31315189374445,9.25920018126877
0.95,1.3201182656733,9.25802690291157
0.96,1.32704806796284,9.25687200510466
0.97,1.33394187054891,9.25573501289093
0.98,1.34080022871535,9.25461546831974
0.99,1.347623683616,9.25351292967192
1,1.354412762773,9.25242697072753
