"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
10,6.55130098208239,1.27760860058502,
11,6.87106243703381,1.27275627537299,
12,7.17659065778454,1.26852389689802,
13,7.46963238219819,1.26478978529506,
14,7.75160385861966,1.26146326930043,
15,8.02367227874809,1.25847521408104,
16,8.28681309627132,1.25577186125879,
17,8.5418514239196,1.25331069398533,
18,8.78949260219841,1.25105758458187,
19,9.03034521266402,1.24898477963541,
20,9.26493870004909,1.24706944666471,
21,9.49373707090368,1.24529260628923,
22,9.71714968636555,1.24363833460276,
23,9.93553986872467,1.24209315849534,
24,10.149231839839,1.24064559108256,
25,10.3585163703392,1.23928577042441,
26,10.5636554208459,1.2380051754464,
27,10.7648859866768,1.23679640029432,
28,10.9624233070035,1.23565297342888,
29,11.1564635623354,1.23456921134104,
30,11.3471861566426,1.23354009932068,
31,11.5347556597131,1.23256119355788,
32,11.7193234695979,1.23162854020813,
33,11.9010292429206,1.23073860805332,
34,12.080002131483,1.22988823213943,
35,12.256361856294,1.22907456633696,
36,12.430219644407,1.22829504320149,
37,12.6016790493959,1.22754733984281,
38,12.7708366726604,1.22682934876777,
39,12.937782799829,1.22613915286234,
40,13.1026019641648,1.22547500383596,
41,13.2653734469527,1.22483530357574,
42,13.4261717232762,1.22421858795737,
43,13.585066860295,1.22362351273922,
44,13.7421248740676,1.22304884122994,
45,13.8974080500736,1.2224934334721,
46,14.050975231849,1.22195623672626,
47,14.202882081529,1.2214362770747,
48,14.3531813155691,1.22093265199246,
49,14.5019229184748,1.22044452375655,
50,14.6491543369974,1.21997111358388,
51,14.7949206569333,1.21951169640461,
52,14.9392647643964,1.21906559619098,
53,15.082227493196,1.21863218177329,
54,15.2238477597584,1.21821086308401,
55,15.364162686853,1.21780108777927,
56,15.5032077172393,1.21740233819367,
57,15.6410167182205,1.21701412859019,
58,15.777622077976,1.21663600267217,
59,15.9130547944516,1.21626753132807,
60,16.0473445574962,1.21590831058397,
61,16.180519824863,1.21555795974138,
62,16.3126078926261,1.21521611968095,
63,16.4436349605053,1.21488245131488,
64,16.5736261925426,1.21455663417284,
65,16.7026057735288,1.21423836510801,
66,16.8305969615371,1.21392735711138,
67,16.9576221368883,1.21362333822377,
68,17.0837028478392,1.21332605053611,
69,17.2088598532573,1.21303524926982,
70,17.3331131625232,1.21275070192956,
71,17.4564820728754,1.21247218752201,
72,17.5789852043968,1.21219949583438,
73,17.7006405328221,1.2119324267676,
74,17.8214654203286,1.21167078971915,
75,17.9414766444614,1.21141440301135,
76,18.060690425328,1.21116309336115,
77,18.1791224511889,1.21091669538793,
78,18.2967879025555,1.21067505115607,
79,18.4137014749041,1.21043800974955,
80,18.5298774000982,1.2102054268758,
81,18.6453294666105,1.20997716449663,
82,18.7600710386245,1.20975309048387,
83,18.8741150740907,1.20953307829806,
84,18.9874741418074,1.20931700668807,
85,19.1001604375876,1.20910475941031,
86,19.2121857995744,1.20889622496599,
87,19.3235617227558,1.20869129635492,
88,19.4342993727311,1.20848987084483,
89,19.5444095987758,1.20829184975496,
90,19.6539029462472,1.20809713825294,
91,19.7627896683714,1.20790564516389,
92,19.8710797374493,1.20771728279112,
93,19.9787828555158,1.20753196674727,
94,20.0859084644842,1.20734961579556,
95,20.1924657558065,1.20717015170006,
96,20.2984636796779,1.20699349908473,
97,20.4039109538095,1.20681958530036,
98,20.5088160717963,1.20664834029903,
99,20.6131873111014,1.20647969651559,
100,20.7170327406783,1.20631358875565,
101,20.8203602282506,1.20614995408967,
102,20.9231774472689,1.2059887317528,
103,21.0254918835609,1.20582986305007,
104,21.1273108416919,1.20567329126665,
105,21.2286414510504,1.20551896158271,
106,21.3294906716742,1.20536682099284,
107,21.4298652998291,1.20521681822953,
108,21.5297719733536,1.20506890369061,
109,21.6292171767817,1.20492302937032,
110,21.7282072462541,1.20477914879386,
111,21.82674837423,1.2046372169552,
112,21.9248466140071,1.20449719025789,
113,22.0225078840608,1.20435902645883,
114,22.1197379722117,1.20422268461475,
115,22.2165425396277,1.20408812503119,
116,22.3129271246708,1.20395530921397,
117,22.4088971465946,1.20382419982295,
118,22.5044579090996,1.20369476062789,
119,22.5996146037542,1.20356695646639,
