"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='40mm' Width='5.6mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='40mm' Width='5.6mm'"
0.01,0.251161788885195,18.3826127217777
0.02,0.355196408191331,17.2118119066964
0.03,0.435024979269046,16.6931278940601
0.04,0.50232357777039,16.3839307109336
0.05,0.561614833297748,16.1729242367509
0.06,0.61521822565336,16.0171657283055
0.07,0.664511632232333,15.896110285973
0.08,0.710392816382662,15.798530303393
0.09,0.753485366655586,15.7177033739856
0.1,0.79424331407958,15.6493261946241
0.11,0.833009415406648,15.5904993010355
0.12,0.870049958538092,15.5391882970748
0.13,0.905576708262833,15.4939180036966
0.14,0.939761362657648,15.453589172902
0.15,0.972745425556024,15.4173636524047
0.16,1.00464715554078,15.3845897055116
0.17,1.03556658469274,15.3547518815874
0.18,1.06558922457399,15.3274364356252
0.19,1.09478885622946,15.3023069006729
0.2,1.1232296665955,15.2790864684202
0.21,1.15096790924693,15.2575450434076
0.22,1.17805321285256,15.2374895730476
0.23,1.20452962458723,15.2187567168447
0.24,1.23043645130672,15.2012072141975
0.25,1.25580894442598,15.1847215044272
0.26,1.28067886259448,15.1691962827635
0.27,1.30507493780714,15.1545417647464
0.28,1.32902326446467,15.1406794930312
0.29,1.3525476264015,15.1275405639137
0.3,1.37566977355772,15.1150641818356
0.31,1.39840965745963,15.1031964725158
0.32,1.42078563276532,15.0918895017413
0.33,1.44281463066756,15.0811004589867
0.34,1.46451230881286,15.0707909741086
0.35,1.48589318151084,15.0609265422152
0.36,1.50697073331117,15.0514760370376
0.37,1.52775751847354,15.0424112971459
0.38,1.54826524841464,15.0337067724648
0.39,1.56850486886221,15.0253392209693
0.4,1.58848662815916,15.0172874473568
0.41,1.60822013792779,15.0095320769948
0.42,1.62771442711321,15.002055359654
0.43,1.64697799026839,14.994840998496
0.44,1.6660188308133,14.9878740005625
0.45,1.68484449989324,14.9811405456433
0.46,1.70346213137144,14.9746278709105
0.47,1.72187847341574,14.9683241691271
0.48,1.74009991707618,14.9622184985822
0.49,1.75813252219637,14.9563007031879
0.5,1.77598204095666,14.9505613414109
0.51,1.79365393930841,14.9449916229075
0.52,1.81115341652567,14.9395833518931
0.53,1.8284854230725,14.9343288764168
0.54,1.84565467696008,14.9292210428282
0.55,1.86266567874663,14.9242531548171
0.56,1.8795227253153,14.9194189364958
0.57,1.89622992254965,14.9147124990589
0.58,1.91279119701254,14.9101283106192
0.59,1.92921030672259,14.9056611688671
0.6,1.94549085111205,14.9013061762471
0.61,1.96163628024073,14.8970587173825
0.62,1.97764990333292,14.8929144385099
0.63,1.993534896697,14.8888692287173
0.64,2.00929431108156,14.8849192028006
0.65,2.02493107851619,14.8810606855761
0.66,2.0404480186804,14.8772901975063
0.67,2.05584784483988,14.8736044415091
0.68,2.07113316938549,14.8700002908385
0.69,2.08630650900695,14.8664747779348
0.7,2.10137028953033,14.8630250841541
0.71,2.11632685044556,14.8596485302959
0.72,2.13117844914799,14.8563425678573
0.73,2.14592726491576,14.8531047709485
0.74,2.16057540264274,14.8499328288103
0.75,2.17512489634523,14.8468245388837
0.76,2.18957771245893,14.8437778003812
0.77,2.20393575294129,14.8407906083201
0.78,2.21820085819316,14.8378610479769
0.79,2.23237480981239,14.8349872897294
0.8,2.24645933319099,14.8321675842549
0.81,2.26045609996676,14.8294002580549
0.82,2.274366730339,14.8266837092813
0.83,2.28819279525763,14.8240164038396
0.84,2.30193581849385,14.8213968717486
0.85,2.31559727860027,14.8188237037359
0.86,2.32917861076753,14.8162955480518
0.87,2.34268120858408,14.8138111074857
0.88,2.35610642570513,14.8113691365686
0.89,2.36945557743652,14.8089684389499
0.9,2.38272994223874,14.8066078649344
0.91,2.39593076315595,14.8042863091689
0.92,2.40905924917447,14.8020027084671
0.93,2.42211657651507,14.7997560397639
0.94,2.43510388986283,14.7975453181895
0.95,2.44802230353832,14.7953695952552
0.96,2.46087290261344,14.7932279571435
0.97,2.47365674397502,14.791119523096
0.98,2.48637485733932,14.7890434438905
0.99,2.49902824621994,14.7869989004049
1,2.51161788885195,14.7849851022584
