Date:  15:42, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20035  ,3.441e+002  ,-14.309  ,9.9186  ,-32.362  ,iso-1
20036  ,3.442e+002  ,-12.889  ,9.9186  ,-32.362  ,iso-1
20037  ,3.443e+002  ,-11.468  ,9.9186  ,-32.362  ,iso-1
20038  ,3.443e+002  ,-10.047  ,9.9186  ,-32.362  ,iso-1
20039  ,3.444e+002  ,-8.6268  ,9.9186  ,-32.362  ,iso-1
20040  ,3.444e+002  ,-7.2061  ,9.9186  ,-32.362  ,iso-1
20041  ,3.444e+002  ,-5.7854  ,9.9186  ,-32.362  ,iso-1
20042  ,3.444e+002  ,-4.3647  ,9.9186  ,-32.362  ,iso-1
20043  ,3.444e+002  ,-2.9441  ,9.9186  ,-32.362  ,iso-1
20044  ,3.444e+002  ,-1.5234  ,9.9186  ,-32.362  ,iso-1
20045  ,3.443e+002  ,-0.10269  ,9.9186  ,-32.362  ,iso-1
20046  ,3.443e+002  ,1.318  ,9.9186  ,-32.362  ,iso-1
20047  ,3.442e+002  ,2.7387  ,9.9186  ,-32.362  ,iso-1
20048  ,3.441e+002  ,4.1593  ,9.9186  ,-32.362  ,iso-1
20049  ,3.440e+002  ,5.58  ,9.9186  ,-32.362  ,iso-1
20050  ,3.439e+002  ,7.0007  ,9.9186  ,-32.362  ,iso-1
20051  ,3.438e+002  ,8.4214  ,9.9186  ,-32.362  ,iso-1
20052  ,3.437e+002  ,9.8421  ,9.9186  ,-32.362  ,iso-1
20053  ,3.436e+002  ,11.263  ,9.9186  ,-32.362  ,iso-1
20054  ,3.435e+002  ,12.683  ,9.9186  ,-32.362  ,iso-1
20055  ,3.434e+002  ,14.104  ,9.9186  ,-32.362  ,iso-1
20056  ,3.433e+002  ,15.525  ,9.9186  ,-32.362  ,iso-1
20057  ,3.432e+002  ,16.945  ,9.9186  ,-32.362  ,iso-1
20058  ,3.430e+002  ,18.366  ,9.9186  ,-32.362  ,iso-1
20059  ,3.429e+002  ,19.787  ,9.9186  ,-32.362  ,iso-1
20060  ,3.428e+002  ,21.207  ,9.9186  ,-32.362  ,iso-1
20061  ,3.427e+002  ,22.628  ,9.9186  ,-32.362  ,iso-1
20062  ,3.427e+002  ,24.049  ,9.9186  ,-32.362  ,iso-1
20063  ,3.426e+002  ,25.47  ,9.9186  ,-32.362  ,iso-1
20064  ,3.425e+002  ,26.89  ,9.9186  ,-32.362  ,iso-1
20065  ,3.424e+002  ,28.311  ,9.9186  ,-32.362  ,iso-1
20066  ,3.423e+002  ,29.732  ,9.9186  ,-32.362  ,iso-1
20067  ,3.423e+002  ,31.152  ,9.9186  ,-32.362  ,iso-1
20068  ,3.422e+002  ,32.573  ,9.9186  ,-32.362  ,iso-1
20069  ,3.422e+002  ,33.994  ,9.9186  ,-32.362  ,iso-1
20070  ,3.422e+002  ,35.414  ,9.9186  ,-32.362  ,iso-1
20110  ,3.422e+002  ,-46.985  ,9.9186  ,22.248  ,iso-1
20111  ,3.422e+002  ,-46.985  ,9.9186  ,20.811  ,iso-1
20112  ,3.422e+002  ,-46.985  ,9.9186  ,19.374  ,iso-1
20113  ,3.422e+002  ,-46.985  ,9.9186  ,17.937  ,iso-1
20114  ,3.423e+002  ,-46.985  ,9.9186  ,16.5  ,iso-1
20115  ,3.423e+002  ,-46.985  ,9.9186  ,15.062  ,iso-1
20116  ,3.423e+002  ,-46.985  ,9.9186  ,13.625  ,iso-1
20117  ,3.424e+002  ,-46.985  ,9.9186  ,12.188  ,iso-1
20118  ,3.424e+002  ,-46.985  ,9.9186  ,10.751  ,iso-1
20119  ,3.424e+002  ,-46.985  ,9.9186  ,9.3141  ,iso-1
20120  ,3.425e+002  ,-46.985  ,9.9186  ,7.877  ,iso-1
20121  ,3.425e+002  ,-46.985  ,9.9186  ,6.4399  ,iso-1
20122  ,3.425e+002  ,-46.985  ,9.9186  ,5.0028  ,iso-1
20123  ,3.425e+002  ,-46.985  ,9.9186  ,3.5657  ,iso-1
20124  ,3.426e+002  ,-46.985  ,9.9186  ,2.1285  ,iso-1
20125  ,3.426e+002  ,-46.985  ,9.9186  ,0.69144  ,iso-1
20126  ,3.426e+002  ,-46.985  ,9.9186  ,-0.74566  ,iso-1
20127  ,3.426e+002  ,-46.985  ,9.9186  ,-2.1828  ,iso-1
20128  ,3.426e+002  ,-46.985  ,9.9186  ,-3.6199  ,iso-1
20129  ,3.426e+002  ,-46.985  ,9.9186  ,-5.057  ,iso-1
20130  ,3.426e+002  ,-46.985  ,9.9186  ,-6.4941  ,iso-1
20131  ,3.426e+002  ,-46.985  ,9.9186  ,-7.9312  ,iso-1
20132  ,3.426e+002  ,-46.985  ,9.9186  ,-9.3683  ,iso-1
20133  ,3.426e+002  ,-46.985  ,9.9186  ,-10.805  ,iso-1
20134  ,3.426e+002  ,-46.985  ,9.9186  ,-12.243  ,iso-1
20135  ,3.425e+002  ,-46.985  ,9.9186  ,-13.68  ,iso-1
20136  ,3.425e+002  ,-46.985  ,9.9186  ,-15.117  ,iso-1
20137  ,3.425e+002  ,-46.985  ,9.9186  ,-16.554  ,iso-1
20138  ,3.425e+002  ,-46.985  ,9.9186  ,-17.991  ,iso-1
20139  ,3.424e+002  ,-46.985  ,9.9186  ,-19.428  ,iso-1
20140  ,3.424e+002  ,-46.985  ,9.9186  ,-20.865  ,iso-1
20141  ,3.424e+002  ,-46.985  ,9.9186  ,-22.302  ,iso-1
20142  ,3.423e+002  ,-46.985  ,9.9186  ,-23.739  ,iso-1
20143  ,3.423e+002  ,-46.985  ,9.9186  ,-25.176  ,iso-1
20144  ,3.423e+002  ,-46.985  ,9.9186  ,-26.614  ,iso-1
20145  ,3.422e+002  ,-46.985  ,9.9186  ,-28.051  ,iso-1
20146  ,3.422e+002  ,-46.985  ,9.9186  ,-29.488  ,iso-1
20147  ,3.422e+002  ,-46.985  ,9.9186  ,-30.925  ,iso-1
20206  ,3.422e+002  ,35.414  ,9.9186  ,22.248  ,iso-1
20207  ,3.422e+002  ,33.994  ,9.9186  ,22.248  ,iso-1
20208  ,3.422e+002  ,32.573  ,9.9186  ,22.248  ,iso-1
20209  ,3.423e+002  ,31.152  ,9.9186  ,22.248  ,iso-1
20210  ,3.423e+002  ,29.732  ,9.9186  ,22.248  ,iso-1
20211  ,3.424e+002  ,28.311  ,9.9186  ,22.248  ,iso-1
20212  ,3.425e+002  ,26.89  ,9.9186  ,22.248  ,iso-1
20213  ,3.426e+002  ,25.47  ,9.9186  ,22.248  ,iso-1
20214  ,3.427e+002  ,24.049  ,9.9186  ,22.248  ,iso-1
20215  ,3.427e+002  ,22.628  ,9.9186  ,22.248  ,iso-1
20216  ,3.428e+002  ,21.207  ,9.9186  ,22.248  ,iso-1
20217  ,3.429e+002  ,19.787  ,9.9186  ,22.248  ,iso-1
20218  ,3.430e+002  ,18.366  ,9.9186  ,22.248  ,iso-1
20219  ,3.432e+002  ,16.945  ,9.9186  ,22.248  ,iso-1
20220  ,3.433e+002  ,15.525  ,9.9186  ,22.248  ,iso-1
20221  ,3.434e+002  ,14.104  ,9.9186  ,22.248  ,iso-1
20222  ,3.435e+002  ,12.683  ,9.9186  ,22.248  ,iso-1
20223  ,3.436e+002  ,11.263  ,9.9186  ,22.248  ,iso-1
20224  ,3.437e+002  ,9.8421  ,9.9186  ,22.248  ,iso-1
20225  ,3.438e+002  ,8.4214  ,9.9186  ,22.248  ,iso-1
20226  ,3.439e+002  ,7.0007  ,9.9186  ,22.248  ,iso-1
20227  ,3.440e+002  ,5.58  ,9.9186  ,22.248  ,iso-1
20228  ,3.441e+002  ,4.1593  ,9.9186  ,22.248  ,iso-1
20229  ,3.442e+002  ,2.7387  ,9.9186  ,22.248  ,iso-1
20230  ,3.443e+002  ,1.318  ,9.9186  ,22.248  ,iso-1
20231  ,3.443e+002  ,-0.10269  ,9.9186  ,22.248  ,iso-1
20232  ,3.444e+002  ,-1.5234  ,9.9186  ,22.248  ,iso-1
20233  ,3.444e+002  ,-2.9441  ,9.9186  ,22.248  ,iso-1
20234  ,3.444e+002  ,-4.3647  ,9.9186  ,22.248  ,iso-1
20235  ,3.444e+002  ,-5.7854  ,9.9186  ,22.248  ,iso-1
20236  ,3.444e+002  ,-7.2061  ,9.9186  ,22.248  ,iso-1
20237  ,3.444e+002  ,-8.6268  ,9.9186  ,22.248  ,iso-1
20238  ,3.443e+002  ,-10.047  ,9.9186  ,22.248  ,iso-1
20239  ,3.443e+002  ,-11.468  ,9.9186  ,22.248  ,iso-1
20240  ,3.442e+002  ,-12.889  ,9.9186  ,22.248  ,iso-1
20241  ,3.441e+002  ,-14.309  ,9.9186  ,22.248  ,iso-1
20242  ,3.440e+002  ,-15.73  ,9.9186  ,22.248  ,iso-1
20243  ,3.439e+002  ,-17.151  ,9.9186  ,22.248  ,iso-1
20244  ,3.438e+002  ,-18.572  ,9.9186  ,22.248  ,iso-1
20245  ,3.437e+002  ,-19.992  ,9.9186  ,22.248  ,iso-1
20246  ,3.436e+002  ,-21.413  ,9.9186  ,22.248  ,iso-1
20247  ,3.435e+002  ,-22.834  ,9.9186  ,22.248  ,iso-1
20248  ,3.434e+002  ,-24.254  ,9.9186  ,22.248  ,iso-1
20249  ,3.433e+002  ,-25.675  ,9.9186  ,22.248  ,iso-1
20250  ,3.432e+002  ,-27.096  ,9.9186  ,22.248  ,iso-1
20251  ,3.430e+002  ,-28.516  ,9.9186  ,22.248  ,iso-1
20252  ,3.429e+002  ,-29.937  ,9.9186  ,22.248  ,iso-1
20253  ,3.428e+002  ,-31.358  ,9.9186  ,22.248  ,iso-1
20254  ,3.427e+002  ,-32.778  ,9.9186  ,22.248  ,iso-1
20255  ,3.427e+002  ,-34.199  ,9.9186  ,22.248  ,iso-1
20256  ,3.426e+002  ,-35.62  ,9.9186  ,22.248  ,iso-1
20257  ,3.425e+002  ,-37.04  ,9.9186  ,22.248  ,iso-1
20258  ,3.424e+002  ,-38.461  ,9.9186  ,22.248  ,iso-1
20259  ,3.423e+002  ,-39.882  ,9.9186  ,22.248  ,iso-1
20260  ,3.423e+002  ,-41.302  ,9.9186  ,22.248  ,iso-1
20261  ,3.422e+002  ,-42.723  ,9.9186  ,22.248  ,iso-1
20262  ,3.422e+002  ,-44.144  ,9.9186  ,22.248  ,iso-1
20263  ,3.422e+002  ,-45.564  ,9.9186  ,22.248  ,iso-1
20264  ,3.444e+002  ,-5.0751  ,9.9186  ,20.798  ,iso-1
20265  ,3.445e+002  ,-5.0751  ,9.9186  ,19.352  ,iso-1
20266  ,3.447e+002  ,-5.0751  ,9.9186  ,17.906  ,iso-1
20267  ,3.449e+002  ,-5.0751  ,9.9186  ,16.459  ,iso-1
20268  ,3.452e+002  ,-5.079  ,9.9186  ,15.008  ,iso-1
20269  ,3.455e+002  ,-5.102  ,9.9186  ,13.528  ,iso-1
20270  ,3.458e+002  ,-5.0689  ,9.9186  ,12.032  ,iso-1
20271  ,3.462e+002  ,-5.0631  ,9.9186  ,10.575  ,iso-1
