Date:  14:29, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
19972  ,3.858e+002  ,36.835  ,9.9186  ,17.937  ,iso-1
19973  ,5.247e+002  ,36.835  ,9.9186  ,19.374  ,iso-1
19974  ,5.975e+002  ,36.835  ,9.9186  ,20.811  ,iso-1
19975  ,-1.245e+000  ,36.835  ,9.9186  ,22.248  ,iso-1
20037  ,-2.111e+001  ,-46.985  ,9.9186  ,-32.362  ,iso-1
20038  ,1.249e+001  ,-45.564  ,9.9186  ,-32.362  ,iso-1
20039  ,1.130e+002  ,-44.144  ,9.9186  ,-32.362  ,iso-1
20040  ,8.776e+001  ,-42.723  ,9.9186  ,-32.362  ,iso-1
20041  ,7.741e+001  ,-41.302  ,9.9186  ,-32.362  ,iso-1
20042  ,7.497e+001  ,-39.882  ,9.9186  ,-32.362  ,iso-1
20043  ,7.482e+001  ,-38.461  ,9.9186  ,-32.362  ,iso-1
20044  ,7.651e+001  ,-37.04  ,9.9186  ,-32.362  ,iso-1
20045  ,7.914e+001  ,-35.62  ,9.9186  ,-32.362  ,iso-1
20046  ,8.156e+001  ,-34.199  ,9.9186  ,-32.362  ,iso-1
20047  ,8.499e+001  ,-32.778  ,9.9186  ,-32.362  ,iso-1
20048  ,8.905e+001  ,-31.358  ,9.9186  ,-32.362  ,iso-1
20049  ,9.340e+001  ,-29.937  ,9.9186  ,-32.362  ,iso-1
20050  ,9.739e+001  ,-28.516  ,9.9186  ,-32.362  ,iso-1
20051  ,1.025e+002  ,-27.096  ,9.9186  ,-32.362  ,iso-1
20052  ,1.069e+002  ,-25.675  ,9.9186  ,-32.362  ,iso-1
20053  ,1.116e+002  ,-24.254  ,9.9186  ,-32.362  ,iso-1
20054  ,1.176e+002  ,-22.834  ,9.9186  ,-32.362  ,iso-1
20055  ,1.226e+002  ,-21.413  ,9.9186  ,-32.362  ,iso-1
20056  ,1.269e+002  ,-19.992  ,9.9186  ,-32.362  ,iso-1
20057  ,1.331e+002  ,-18.572  ,9.9186  ,-32.362  ,iso-1
20058  ,1.571e+002  ,-17.151  ,9.9186  ,-32.362  ,iso-1
20059  ,9.721e+002  ,-15.73  ,9.9186  ,-32.362  ,iso-1
20060  ,9.280e+002  ,-14.309  ,9.9186  ,-32.362  ,iso-1
20061  ,3.981e+002  ,-12.889  ,9.9186  ,-32.362  ,iso-1
20062  ,1.785e+002  ,-11.468  ,9.9186  ,-32.362  ,iso-1
20063  ,1.643e+002  ,-10.047  ,9.9186  ,-32.362  ,iso-1
20064  ,1.623e+002  ,-8.6268  ,9.9186  ,-32.362  ,iso-1
20065  ,1.616e+002  ,-7.2061  ,9.9186  ,-32.362  ,iso-1
20066  ,1.702e+002  ,-5.7854  ,9.9186  ,-32.362  ,iso-1
20067  ,1.744e+002  ,-4.3647  ,9.9186  ,-32.362  ,iso-1
20068  ,1.346e+002  ,-2.9441  ,9.9186  ,-32.362  ,iso-1
20069  ,1.172e+002  ,-1.5234  ,9.9186  ,-32.362  ,iso-1
20070  ,1.203e+002  ,-0.10269  ,9.9186  ,-32.362  ,iso-1
20071  ,1.251e+002  ,1.318  ,9.9186  ,-32.362  ,iso-1
20072  ,1.199e+002  ,2.7387  ,9.9186  ,-32.362  ,iso-1
20073  ,1.159e+002  ,4.1593  ,9.9186  ,-32.362  ,iso-1
20074  ,1.151e+002  ,5.58  ,9.9186  ,-32.362  ,iso-1
20075  ,1.100e+002  ,7.0007  ,9.9186  ,-32.362  ,iso-1
20076  ,1.041e+002  ,8.4214  ,9.9186  ,-32.362  ,iso-1
20077  ,1.022e+002  ,9.8421  ,9.9186  ,-32.362  ,iso-1
20078  ,9.438e+001  ,11.263  ,9.9186  ,-32.362  ,iso-1
20079  ,9.048e+001  ,12.683  ,9.9186  ,-32.362  ,iso-1
20080  ,8.701e+001  ,14.104  ,9.9186  ,-32.362  ,iso-1
20081  ,8.478e+001  ,15.525  ,9.9186  ,-32.362  ,iso-1
20082  ,8.034e+001  ,16.945  ,9.9186  ,-32.362  ,iso-1
20083  ,7.723e+001  ,18.366  ,9.9186  ,-32.362  ,iso-1
20084  ,7.174e+001  ,19.787  ,9.9186  ,-32.362  ,iso-1
20085  ,6.918e+001  ,21.207  ,9.9186  ,-32.362  ,iso-1
20086  ,6.655e+001  ,22.628  ,9.9186  ,-32.362  ,iso-1
20087  ,6.569e+001  ,24.049  ,9.9186  ,-32.362  ,iso-1
20088  ,6.214e+001  ,25.47  ,9.9186  ,-32.362  ,iso-1
20089  ,5.955e+001  ,26.89  ,9.9186  ,-32.362  ,iso-1
20090  ,5.793e+001  ,28.311  ,9.9186  ,-32.362  ,iso-1
20091  ,5.756e+001  ,29.732  ,9.9186  ,-32.362  ,iso-1
20092  ,5.969e+001  ,31.152  ,9.9186  ,-32.362  ,iso-1
20093  ,6.518e+001  ,32.573  ,9.9186  ,-32.362  ,iso-1
20094  ,3.324e+002  ,33.994  ,9.9186  ,-32.362  ,iso-1
20095  ,6.539e+002  ,35.414  ,9.9186  ,-32.362  ,iso-1
20135  ,-8.379e+001  ,-46.985  ,9.9186  ,22.248  ,iso-1
20136  ,3.682e+002  ,-46.985  ,9.9186  ,20.811  ,iso-1
20137  ,4.422e+002  ,-46.985  ,9.9186  ,19.374  ,iso-1
20138  ,3.706e+002  ,-46.985  ,9.9186  ,17.937  ,iso-1
20139  ,3.651e+002  ,-46.985  ,9.9186  ,16.5  ,iso-1
20140  ,2.441e+002  ,-46.985  ,9.9186  ,15.062  ,iso-1
20141  ,3.317e+002  ,-46.985  ,9.9186  ,13.625  ,iso-1
20142  ,3.278e+002  ,-46.985  ,9.9186  ,12.188  ,iso-1
20143  ,3.294e+002  ,-46.985  ,9.9186  ,10.751  ,iso-1
20144  ,3.336e+002  ,-46.985  ,9.9186  ,9.3141  ,iso-1
20145  ,3.381e+002  ,-46.985  ,9.9186  ,7.877  ,iso-1
20146  ,3.409e+002  ,-46.985  ,9.9186  ,6.4399  ,iso-1
20147  ,3.453e+002  ,-46.985  ,9.9186  ,5.0028  ,iso-1
20148  ,3.498e+002  ,-46.985  ,9.9186  ,3.5657  ,iso-1
20149  ,3.529e+002  ,-46.985  ,9.9186  ,2.1285  ,iso-1
20150  ,3.659e+002  ,-46.985  ,9.9186  ,0.69144  ,iso-1
20151  ,3.710e+002  ,-46.985  ,9.9186  ,-0.74566  ,iso-1
20152  ,3.620e+002  ,-46.985  ,9.9186  ,-2.1828  ,iso-1
20153  ,3.639e+002  ,-46.985  ,9.9186  ,-3.6199  ,iso-1
20154  ,3.646e+002  ,-46.985  ,9.9186  ,-5.057  ,iso-1
20155  ,3.612e+002  ,-46.985  ,9.9186  ,-6.4941  ,iso-1
20156  ,3.605e+002  ,-46.985  ,9.9186  ,-7.9312  ,iso-1
20157  ,3.461e+002  ,-46.985  ,9.9186  ,-9.3683  ,iso-1
20158  ,3.478e+002  ,-46.985  ,9.9186  ,-10.805  ,iso-1
20159  ,3.541e+002  ,-46.985  ,9.9186  ,-12.243  ,iso-1
20160  ,3.506e+002  ,-46.985  ,9.9186  ,-13.68  ,iso-1
20161  ,3.459e+002  ,-46.985  ,9.9186  ,-15.117  ,iso-1
20162  ,3.419e+002  ,-46.985  ,9.9186  ,-16.554  ,iso-1
20163  ,3.382e+002  ,-46.985  ,9.9186  ,-17.991  ,iso-1
20164  ,3.352e+002  ,-46.985  ,9.9186  ,-19.428  ,iso-1
20165  ,3.351e+002  ,-46.985  ,9.9186  ,-20.865  ,iso-1
20166  ,3.208e+002  ,-46.985  ,9.9186  ,-22.302  ,iso-1
20167  ,3.173e+002  ,-46.985  ,9.9186  ,-23.739  ,iso-1
20168  ,3.316e+002  ,-46.985  ,9.9186  ,-25.176  ,iso-1
20169  ,3.449e+002  ,-46.985  ,9.9186  ,-26.614  ,iso-1
20170  ,3.861e+002  ,-46.985  ,9.9186  ,-28.051  ,iso-1
20171  ,5.245e+002  ,-46.985  ,9.9186  ,-29.488  ,iso-1
20172  ,5.959e+002  ,-46.985  ,9.9186  ,-30.925  ,iso-1
20231  ,1.534e+001  ,35.414  ,9.9186  ,22.248  ,iso-1
20232  ,1.165e+002  ,33.994  ,9.9186  ,22.248  ,iso-1
20233  ,9.625e+001  ,32.573  ,9.9186  ,22.248  ,iso-1
20234  ,4.918e+002  ,31.152  ,9.9186  ,22.248  ,iso-1
20235  ,1.946e+002  ,29.732  ,9.9186  ,22.248  ,iso-1
