Date:  14:22, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
19973  ,3.422e+002  ,36.835  ,9.9186  ,19.374  ,iso-1
19974  ,3.422e+002  ,36.835  ,9.9186  ,20.811  ,iso-1
19975  ,3.422e+002  ,36.835  ,9.9186  ,22.248  ,iso-1
20037  ,3.422e+002  ,-46.985  ,9.9186  ,-32.362  ,iso-1
20038  ,3.422e+002  ,-45.564  ,9.9186  ,-32.362  ,iso-1
20039  ,3.422e+002  ,-44.144  ,9.9186  ,-32.362  ,iso-1
20040  ,3.422e+002  ,-42.723  ,9.9186  ,-32.362  ,iso-1
20041  ,3.423e+002  ,-41.302  ,9.9186  ,-32.362  ,iso-1
20042  ,3.424e+002  ,-39.882  ,9.9186  ,-32.362  ,iso-1
20043  ,3.424e+002  ,-38.461  ,9.9186  ,-32.362  ,iso-1
20044  ,3.425e+002  ,-37.04  ,9.9186  ,-32.362  ,iso-1
20045  ,3.426e+002  ,-35.62  ,9.9186  ,-32.362  ,iso-1
20046  ,3.427e+002  ,-34.199  ,9.9186  ,-32.362  ,iso-1
20047  ,3.427e+002  ,-32.778  ,9.9186  ,-32.362  ,iso-1
20048  ,3.428e+002  ,-31.358  ,9.9186  ,-32.362  ,iso-1
20049  ,3.429e+002  ,-29.937  ,9.9186  ,-32.362  ,iso-1
20050  ,3.431e+002  ,-28.516  ,9.9186  ,-32.362  ,iso-1
20051  ,3.432e+002  ,-27.096  ,9.9186  ,-32.362  ,iso-1
20052  ,3.433e+002  ,-25.675  ,9.9186  ,-32.362  ,iso-1
20053  ,3.434e+002  ,-24.254  ,9.9186  ,-32.362  ,iso-1
20054  ,3.435e+002  ,-22.834  ,9.9186  ,-32.362  ,iso-1
20055  ,3.436e+002  ,-21.413  ,9.9186  ,-32.362  ,iso-1
20056  ,3.437e+002  ,-19.992  ,9.9186  ,-32.362  ,iso-1
20057  ,3.438e+002  ,-18.572  ,9.9186  ,-32.362  ,iso-1
20058  ,3.439e+002  ,-17.151  ,9.9186  ,-32.362  ,iso-1
20059  ,3.440e+002  ,-15.73  ,9.9186  ,-32.362  ,iso-1
20060  ,3.441e+002  ,-14.309  ,9.9186  ,-32.362  ,iso-1
20061  ,3.442e+002  ,-12.889  ,9.9186  ,-32.362  ,iso-1
20062  ,3.443e+002  ,-11.468  ,9.9186  ,-32.362  ,iso-1
20063  ,3.443e+002  ,-10.047  ,9.9186  ,-32.362  ,iso-1
20064  ,3.444e+002  ,-8.6268  ,9.9186  ,-32.362  ,iso-1
20065  ,3.444e+002  ,-7.2061  ,9.9186  ,-32.362  ,iso-1
20066  ,3.444e+002  ,-5.7854  ,9.9186  ,-32.362  ,iso-1
20067  ,3.444e+002  ,-4.3647  ,9.9186  ,-32.362  ,iso-1
20068  ,3.444e+002  ,-2.9441  ,9.9186  ,-32.362  ,iso-1
20069  ,3.444e+002  ,-1.5234  ,9.9186  ,-32.362  ,iso-1
20070  ,3.443e+002  ,-0.10269  ,9.9186  ,-32.362  ,iso-1
20071  ,3.443e+002  ,1.318  ,9.9186  ,-32.362  ,iso-1
20072  ,3.442e+002  ,2.7387  ,9.9186  ,-32.362  ,iso-1
20073  ,3.441e+002  ,4.1593  ,9.9186  ,-32.362  ,iso-1
20074  ,3.440e+002  ,5.58  ,9.9186  ,-32.362  ,iso-1
20075  ,3.439e+002  ,7.0007  ,9.9186  ,-32.362  ,iso-1
20076  ,3.438e+002  ,8.4214  ,9.9186  ,-32.362  ,iso-1
20077  ,3.437e+002  ,9.8421  ,9.9186  ,-32.362  ,iso-1
20078  ,3.436e+002  ,11.263  ,9.9186  ,-32.362  ,iso-1
20079  ,3.435e+002  ,12.683  ,9.9186  ,-32.362  ,iso-1
20080  ,3.434e+002  ,14.104  ,9.9186  ,-32.362  ,iso-1
20081  ,3.433e+002  ,15.525  ,9.9186  ,-32.362  ,iso-1
20082  ,3.432e+002  ,16.945  ,9.9186  ,-32.362  ,iso-1
20083  ,3.431e+002  ,18.366  ,9.9186  ,-32.362  ,iso-1
20084  ,3.429e+002  ,19.787  ,9.9186  ,-32.362  ,iso-1
20085  ,3.428e+002  ,21.207  ,9.9186  ,-32.362  ,iso-1
20086  ,3.427e+002  ,22.628  ,9.9186  ,-32.362  ,iso-1
20087  ,3.427e+002  ,24.049  ,9.9186  ,-32.362  ,iso-1
20088  ,3.426e+002  ,25.47  ,9.9186  ,-32.362  ,iso-1
20089  ,3.425e+002  ,26.89  ,9.9186  ,-32.362  ,iso-1
20090  ,3.424e+002  ,28.311  ,9.9186  ,-32.362  ,iso-1
20091  ,3.424e+002  ,29.732  ,9.9186  ,-32.362  ,iso-1
20092  ,3.423e+002  ,31.152  ,9.9186  ,-32.362  ,iso-1
20093  ,3.423e+002  ,32.573  ,9.9186  ,-32.362  ,iso-1
20094  ,3.422e+002  ,33.994  ,9.9186  ,-32.362  ,iso-1
20095  ,3.422e+002  ,35.414  ,9.9186  ,-32.362  ,iso-1
20135  ,3.422e+002  ,-46.985  ,9.9186  ,22.248  ,iso-1
20136  ,3.422e+002  ,-46.985  ,9.9186  ,20.811  ,iso-1
20137  ,3.422e+002  ,-46.985  ,9.9186  ,19.374  ,iso-1
20138  ,3.422e+002  ,-46.985  ,9.9186  ,17.937  ,iso-1
20139  ,3.423e+002  ,-46.985  ,9.9186  ,16.5  ,iso-1
20140  ,3.423e+002  ,-46.985  ,9.9186  ,15.062  ,iso-1
20141  ,3.423e+002  ,-46.985  ,9.9186  ,13.625  ,iso-1
20142  ,3.424e+002  ,-46.985  ,9.9186  ,12.188  ,iso-1
20143  ,3.424e+002  ,-46.985  ,9.9186  ,10.751  ,iso-1
20144  ,3.424e+002  ,-46.985  ,9.9186  ,9.3141  ,iso-1
20145  ,3.425e+002  ,-46.985  ,9.9186  ,7.877  ,iso-1
20146  ,3.425e+002  ,-46.985  ,9.9186  ,6.4399  ,iso-1
20147  ,3.425e+002  ,-46.985  ,9.9186  ,5.0028  ,iso-1
20148  ,3.425e+002  ,-46.985  ,9.9186  ,3.5657  ,iso-1
20149  ,3.426e+002  ,-46.985  ,9.9186  ,2.1285  ,iso-1
20150  ,3.426e+002  ,-46.985  ,9.9186  ,0.69144  ,iso-1
20151  ,3.426e+002  ,-46.985  ,9.9186  ,-0.74566  ,iso-1
20152  ,3.426e+002  ,-46.985  ,9.9186  ,-2.1828  ,iso-1
20153  ,3.426e+002  ,-46.985  ,9.9186  ,-3.6199  ,iso-1
20154  ,3.426e+002  ,-46.985  ,9.9186  ,-5.057  ,iso-1
20155  ,3.426e+002  ,-46.985  ,9.9186  ,-6.4941  ,iso-1
20156  ,3.426e+002  ,-46.985  ,9.9186  ,-7.9312  ,iso-1
20157  ,3.426e+002  ,-46.985  ,9.9186  ,-9.3683  ,iso-1
20158  ,3.426e+002  ,-46.985  ,9.9186  ,-10.805  ,iso-1
20159  ,3.426e+002  ,-46.985  ,9.9186  ,-12.243  ,iso-1
20160  ,3.425e+002  ,-46.985  ,9.9186  ,-13.68  ,iso-1
20161  ,3.425e+002  ,-46.985  ,9.9186  ,-15.117  ,iso-1
20162  ,3.425e+002  ,-46.985  ,9.9186  ,-16.554  ,iso-1
20163  ,3.425e+002  ,-46.985  ,9.9186  ,-17.991  ,iso-1
20164  ,3.424e+002  ,-46.985  ,9.9186  ,-19.428  ,iso-1
20165  ,3.424e+002  ,-46.985  ,9.9186  ,-20.865  ,iso-1
20166  ,3.424e+002  ,-46.985  ,9.9186  ,-22.302  ,iso-1
20167  ,3.423e+002  ,-46.985  ,9.9186  ,-23.739  ,iso-1
20168  ,3.423e+002  ,-46.985  ,9.9186  ,-25.176  ,iso-1
20169  ,3.423e+002  ,-46.985  ,9.9186  ,-26.614  ,iso-1
20170  ,3.422e+002  ,-46.985  ,9.9186  ,-28.051  ,iso-1
20171  ,3.422e+002  ,-46.985  ,9.9186  ,-29.488  ,iso-1
20172  ,3.422e+002  ,-46.985  ,9.9186  ,-30.925  ,iso-1
20231  ,3.422e+002  ,35.414  ,9.9186  ,22.248  ,iso-1
20232  ,3.422e+002  ,33.994  ,9.9186  ,22.248  ,iso-1
20233  ,3.422e+002  ,32.573  ,9.9186  ,22.248  ,iso-1
20234  ,3.423e+002  ,31.152  ,9.9186  ,22.248  ,iso-1
20235  ,3.424e+002  ,29.732  ,9.9186  ,22.248  ,iso-1
20236  ,3.424e+002  ,28.311  ,9.9186  ,22.248  ,iso-1
20237  ,3.425e+002  ,26.89  ,9.9186  ,22.248  ,iso-1
20238  ,3.426e+002  ,25.47  ,9.9186  ,22.248  ,iso-1
20239  ,3.427e+002  ,24.049  ,9.9186  ,22.248  ,iso-1
20240  ,3.427e+002  ,22.628  ,9.9186  ,22.248  ,iso-1
20241  ,3.428e+002  ,21.207  ,9.9186  ,22.248  ,iso-1
20242  ,3.429e+002  ,19.787  ,9.9186  ,22.248  ,iso-1
20243  ,3.431e+002  ,18.366  ,9.9186  ,22.248  ,iso-1
20244  ,3.432e+002  ,16.945  ,9.9186  ,22.248  ,iso-1
20245  ,3.433e+002  ,15.525  ,9.9186  ,22.248  ,iso-1
20246  ,3.434e+002  ,14.104  ,9.9186  ,22.248  ,iso-1
20247  ,3.435e+002  ,12.683  ,9.9186  ,22.248  ,iso-1
20248  ,3.436e+002  ,11.263  ,9.9186  ,22.248  ,iso-1
20249  ,3.437e+002  ,9.8421  ,9.9186  ,22.248  ,iso-1
20250  ,3.438e+002  ,8.4214  ,9.9186  ,22.248  ,iso-1
20251  ,3.439e+002  ,7.0007  ,9.9186  ,22.248  ,iso-1
20252  ,3.440e+002  ,5.58  ,9.9186  ,22.248  ,iso-1
20253  ,3.441e+002  ,4.1593  ,9.9186  ,22.248  ,iso-1
20254  ,3.442e+002  ,2.7387  ,9.9186  ,22.248  ,iso-1
20255  ,3.443e+002  ,1.318  ,9.9186  ,22.248  ,iso-1
20256  ,3.443e+002  ,-0.10269  ,9.9186  ,22.248  ,iso-1
20257  ,3.444e+002  ,-1.5234  ,9.9186  ,22.248  ,iso-1
20258  ,3.444e+002  ,-2.9441  ,9.9186  ,22.248  ,iso-1
20259  ,3.444e+002  ,-4.3647  ,9.9186  ,22.248  ,iso-1
20260  ,3.444e+002  ,-5.7854  ,9.9186  ,22.248  ,iso-1
20261  ,3.444e+002  ,-7.2061  ,9.9186  ,22.248  ,iso-1
